"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.68359375","0.68359375","0.68359375"
"5","0.646484375","0.646484375","0.646484375"
"10","0.626953125","0.626953125","0.626953125"
"15","0.66796875","0.66796875","0.66796875"
"20","0.67578125","0.67578125","0.67578125"
"25","0.703125","0.703125","0.703125"
"30","0.705078125","0.705078125","0.705078125"
"35","0.64453125","0.64453125","0.64453125"
"40","0.658203125","0.658203125","0.658203125"
"45","0.62109375","0.62109375","0.62109375"
"50","0.693359375","0.693359375","0.693359375"
"55","0.66015625","0.66015625","0.66015625"
"60","0.626953125","0.626953125","0.626953125"
"65","0.64453125","0.64453125","0.64453125"
"70","0.708984375","0.708984375","0.708984375"
"75","0.638671875","0.638671875","0.638671875"
"80","0.603515625","0.603515625","0.603515625"
"85","0.65625","0.65625","0.65625"
"90","0.62109375","0.62109375","0.62109375"
"95","0.638671875","0.638671875","0.638671875"
"100","0.630859375","0.630859375","0.630859375"
"105","0.658203125","0.658203125","0.658203125"
"110","0.62890625","0.62890625","0.62890625"
"115","0.619140625","0.619140625","0.619140625"
"120","0.611328125","0.611328125","0.611328125"
"125","0.6171875","0.6171875","0.6171875"
"130","0.626953125","0.626953125","0.626953125"
"135","0.62890625","0.62890625","0.62890625"
"140","0.646484375","0.646484375","0.646484375"
"145","0.630859375","0.630859375","0.630859375"
"150","0.623046875","0.623046875","0.623046875"
"155","0.6328125","0.6328125","0.6328125"
"160","0.65625","0.65625","0.65625"
"165","0.650390625","0.650390625","0.650390625"
"170","0.642578125","0.642578125","0.642578125"
"175","0.66796875","0.66796875","0.66796875"
"180","0.62890625","0.62890625","0.62890625"
"185","0.6484375","0.6484375","0.6484375"
"190","0.658203125","0.658203125","0.658203125"
"195","0.662109375","0.662109375","0.662109375"
"200","0.6953125","0.6953125","0.6953125"
"205","0.71484375","0.71484375","0.71484375"
"210","0.6953125","0.6953125","0.6953125"
"215","0.6875","0.6875","0.6875"
"220","0.68359375","0.68359375","0.68359375"
"225","0.72265625","0.72265625","0.72265625"
"230","0.73046875","0.73046875","0.73046875"
"235","0.693359375","0.693359375","0.693359375"
"240","0.71875","0.71875","0.71875"
"245","0.73828125","0.73828125","0.73828125"
"250","0.75390625","0.75390625","0.75390625"
"255","0.73828125","0.73828125","0.73828125"
"260","0.703125","0.703125","0.703125"
"265","0.71875","0.71875","0.71875"
"270","0.759765625","0.759765625","0.759765625"
"275","0.69140625","0.69140625","0.69140625"
"280","0.681640625","0.681640625","0.681640625"
"285","0.71875","0.71875","0.71875"
"290","0.716796875","0.716796875","0.716796875"
"295","0.72265625","0.72265625","0.72265625"
"300","0.732421875","0.732421875","0.732421875"
