"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.849609375","0.849609375","0.849609375"
"5","0.826171875","0.826171875","0.826171875"
"10","0.83984375","0.83984375","0.83984375"
"15","0.81640625","0.81640625","0.81640625"
"20","0.84765625","0.84765625","0.84765625"
"25","0.83984375","0.83984375","0.83984375"
"30","0.84765625","0.84765625","0.84765625"
"35","0.841796875","0.841796875","0.841796875"
"40","0.826171875","0.826171875","0.826171875"
"45","0.814453125","0.814453125","0.814453125"
"50","0.796875","0.796875","0.796875"
"55","0.82421875","0.82421875","0.82421875"
"60","0.83203125","0.83203125","0.83203125"
"65","0.830078125","0.830078125","0.830078125"
"70","0.8046875","0.8046875","0.8046875"
"75","0.810546875","0.810546875","0.810546875"
"80","0.8046875","0.8046875","0.8046875"
"85","0.830078125","0.830078125","0.830078125"
"90","0.83203125","0.83203125","0.83203125"
"95","0.8515625","0.8515625","0.8515625"
"100","0.810546875","0.810546875","0.810546875"
"105","0.810546875","0.810546875","0.810546875"
"110","0.83203125","0.83203125","0.83203125"
"115","0.853515625","0.853515625","0.853515625"
"120","0.841796875","0.841796875","0.841796875"
"125","0.865234375","0.865234375","0.865234375"
"130","0.876953125","0.876953125","0.876953125"
"135","0.8515625","0.8515625","0.8515625"
"140","0.87890625","0.87890625","0.87890625"
"145","0.849609375","0.849609375","0.849609375"
"150","0.818359375","0.818359375","0.818359375"
"155","0.83984375","0.83984375","0.83984375"
"160","0.8671875","0.8671875","0.8671875"
"165","0.865234375","0.865234375","0.865234375"
"170","0.830078125","0.830078125","0.830078125"
"175","0.84375","0.84375","0.84375"
"180","0.833984375","0.833984375","0.833984375"
"185","0.79296875","0.79296875","0.79296875"
"190","0.845703125","0.845703125","0.845703125"
"195","0.8671875","0.8671875","0.8671875"
"200","0.87890625","0.87890625","0.87890625"
"205","0.806640625","0.806640625","0.806640625"
"210","0.83984375","0.83984375","0.83984375"
"215","0.845703125","0.845703125","0.845703125"
"220","0.85546875","0.85546875","0.85546875"
"225","0.80078125","0.80078125","0.80078125"
"230","0.8125","0.8125","0.8125"
"235","0.82421875","0.82421875","0.82421875"
"240","0.775390625","0.775390625","0.775390625"
"245","0.814453125","0.814453125","0.814453125"
"250","0.732421875","0.732421875","0.732421875"
"255","0.8046875","0.8046875","0.8046875"
"260","0.822265625","0.822265625","0.822265625"
"265","0.8203125","0.8203125","0.8203125"
"270","0.853515625","0.853515625","0.853515625"
"275","0.814453125","0.814453125","0.814453125"
"280","0.81640625","0.81640625","0.81640625"
"285","0.79296875","0.79296875","0.79296875"
"290","0.80859375","0.80859375","0.80859375"
"295","0.822265625","0.822265625","0.822265625"
"300","0.83984375","0.83984375","0.83984375"
"305","0.841796875","0.841796875","0.841796875"
"310","0.845703125","0.845703125","0.845703125"
"315","0.806640625","0.806640625","0.806640625"
"320","0.826171875","0.826171875","0.826171875"
"325","0.806640625","0.806640625","0.806640625"
"330","0.783203125","0.783203125","0.783203125"
"335","0.814453125","0.814453125","0.814453125"
"340","0.818359375","0.818359375","0.818359375"
"345","0.87109375","0.87109375","0.87109375"
"350","0.84375","0.84375","0.84375"
"355","0.830078125","0.830078125","0.830078125"
"360","0.81640625","0.81640625","0.81640625"
"365","0.833984375","0.833984375","0.833984375"
"370","0.818359375","0.818359375","0.818359375"
"375","0.8671875","0.8671875","0.8671875"
"380","0.84375","0.84375","0.84375"
"385","0.830078125","0.830078125","0.830078125"
"390","0.822265625","0.822265625","0.822265625"
"395","0.86328125","0.86328125","0.86328125"
"400","0.86328125","0.86328125","0.86328125"
"405","0.830078125","0.830078125","0.830078125"
"410","0.833984375","0.833984375","0.833984375"
"415","0.83203125","0.83203125","0.83203125"
"420","0.861328125","0.861328125","0.861328125"
"425","0.859375","0.859375","0.859375"
"430","0.841796875","0.841796875","0.841796875"
"435","0.859375","0.859375","0.859375"
"440","0.84765625","0.84765625","0.84765625"
"445","0.828125","0.828125","0.828125"
"450","0.814453125","0.814453125","0.814453125"
"455","0.826171875","0.826171875","0.826171875"
"460","0.833984375","0.833984375","0.833984375"
"465","0.81640625","0.81640625","0.81640625"
"470","0.8359375","0.8359375","0.8359375"
"475","0.8515625","0.8515625","0.8515625"
"480","0.890625","0.890625","0.890625"
"485","0.85546875","0.85546875","0.85546875"
"490","0.849609375","0.849609375","0.849609375"
"495","0.84765625","0.84765625","0.84765625"
"500","0.833984375","0.833984375","0.833984375"
"505","0.82421875","0.82421875","0.82421875"
"510","0.814453125","0.814453125","0.814453125"
"515","0.837890625","0.837890625","0.837890625"
"520","0.8359375","0.8359375","0.8359375"
"525","0.857421875","0.857421875","0.857421875"
"530","0.822265625","0.822265625","0.822265625"
"535","0.8359375","0.8359375","0.8359375"
"540","0.84375","0.84375","0.84375"
"545","0.845703125","0.845703125","0.845703125"
"550","0.828125","0.828125","0.828125"
"555","0.794921875","0.794921875","0.794921875"
"560","0.8359375","0.8359375","0.8359375"
"565","0.830078125","0.830078125","0.830078125"
"570","0.833984375","0.833984375","0.833984375"
"575","0.8359375","0.8359375","0.8359375"
"580","0.8125","0.8125","0.8125"
"585","0.81640625","0.81640625","0.81640625"
"590","0.8046875","0.8046875","0.8046875"
"595","0.818359375","0.818359375","0.818359375"
"600","0.7734375","0.7734375","0.7734375"
"605","0.8046875","0.8046875","0.8046875"
"610","0.810546875","0.810546875","0.810546875"
"615","0.80078125","0.80078125","0.80078125"
"620","0.826171875","0.826171875","0.826171875"
"625","0.798828125","0.798828125","0.798828125"
"630","0.80859375","0.80859375","0.80859375"
"635","0.845703125","0.845703125","0.845703125"
"640","0.849609375","0.849609375","0.849609375"
"645","0.796875","0.796875","0.796875"
"650","0.814453125","0.814453125","0.814453125"
"655","0.8203125","0.8203125","0.8203125"
"660","0.833984375","0.833984375","0.833984375"
"665","0.798828125","0.798828125","0.798828125"
"670","0.796875","0.796875","0.796875"
"675","0.826171875","0.826171875","0.826171875"
"680","0.84765625","0.84765625","0.84765625"
"685","0.802734375","0.802734375","0.802734375"
"690","0.81640625","0.81640625","0.81640625"
"695","0.833984375","0.833984375","0.833984375"
"700","0.84765625","0.84765625","0.84765625"
"705","0.82421875","0.82421875","0.82421875"
