"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"0","0.818359375","0.818359375","0.818359375"
"5","0.802734375","0.802734375","0.802734375"
"10","0.77734375","0.77734375","0.77734375"
"15","0.7734375","0.7734375","0.7734375"
"20","0.79296875","0.79296875","0.79296875"
"25","0.763671875","0.763671875","0.763671875"
"30","0.78515625","0.78515625","0.78515625"
"35","0.76171875","0.76171875","0.76171875"
"40","0.7890625","0.7890625","0.7890625"
"45","0.779296875","0.779296875","0.779296875"
"50","0.7734375","0.7734375","0.7734375"
"55","0.77734375","0.77734375","0.77734375"
"60","0.81640625","0.81640625","0.81640625"
"65","0.77734375","0.77734375","0.77734375"
"70","0.7578125","0.7578125","0.7578125"
"75","0.783203125","0.783203125","0.783203125"
"80","0.759765625","0.759765625","0.759765625"
"85","0.78125","0.78125","0.78125"
"90","0.81640625","0.81640625","0.81640625"
"95","0.7734375","0.7734375","0.7734375"
"100","0.759765625","0.759765625","0.759765625"
"105","0.77734375","0.77734375","0.77734375"
"110","0.78515625","0.78515625","0.78515625"
"115","0.8125","0.8125","0.8125"
"120","0.78515625","0.78515625","0.78515625"
"125","0.798828125","0.798828125","0.798828125"
"130","0.76953125","0.76953125","0.76953125"
"135","0.802734375","0.802734375","0.802734375"
"140","0.814453125","0.814453125","0.814453125"
"145","0.814453125","0.814453125","0.814453125"
"150","0.798828125","0.798828125","0.798828125"
"155","0.83203125","0.83203125","0.83203125"
"160","0.767578125","0.767578125","0.767578125"
"165","0.771484375","0.771484375","0.771484375"
"170","0.7265625","0.7265625","0.7265625"
"175","0.767578125","0.767578125","0.767578125"
"180","0.78125","0.78125","0.78125"
"185","0.7734375","0.7734375","0.7734375"
"190","0.78515625","0.78515625","0.78515625"
"195","0.775390625","0.775390625","0.775390625"
"200","0.76953125","0.76953125","0.76953125"
"205","0.7890625","0.7890625","0.7890625"
"210","0.767578125","0.767578125","0.767578125"
"215","0.798828125","0.798828125","0.798828125"
"220","0.787109375","0.787109375","0.787109375"
"225","0.75","0.75","0.75"
"230","0.73046875","0.73046875","0.73046875"
"235","0.740234375","0.740234375","0.740234375"
"240","0.736328125","0.736328125","0.736328125"
"245","0.7421875","0.7421875","0.7421875"
"250","0.74609375","0.74609375","0.74609375"
"255","0.7734375","0.7734375","0.7734375"
"260","0.798828125","0.798828125","0.798828125"
"265","0.7578125","0.7578125","0.7578125"
"270","0.798828125","0.798828125","0.798828125"
"275","0.7421875","0.7421875","0.7421875"
"280","0.732421875","0.732421875","0.732421875"
"285","0.7578125","0.7578125","0.7578125"
"290","0.736328125","0.736328125","0.736328125"
"295","0.740234375","0.740234375","0.740234375"
"300","0.771484375","0.771484375","0.771484375"
"305","0.69921875","0.69921875","0.69921875"
"310","0.73828125","0.73828125","0.73828125"
"315","0.732421875","0.732421875","0.732421875"
"320","0.751953125","0.751953125","0.751953125"
