"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"0","0.82421875","0.82421875","0.82421875"
"5","0.849609375","0.849609375","0.849609375"
"10","0.82421875","0.82421875","0.82421875"
"15","0.81640625","0.81640625","0.81640625"
"20","0.849609375","0.849609375","0.849609375"
"25","0.828125","0.828125","0.828125"
"30","0.83984375","0.83984375","0.83984375"
"35","0.83203125","0.83203125","0.83203125"
"40","0.87109375","0.87109375","0.87109375"
"45","0.828125","0.828125","0.828125"
"50","0.841796875","0.841796875","0.841796875"
"55","0.86328125","0.86328125","0.86328125"
"60","0.796875","0.796875","0.796875"
"65","0.82421875","0.82421875","0.82421875"
"70","0.802734375","0.802734375","0.802734375"
"75","0.814453125","0.814453125","0.814453125"
"80","0.822265625","0.822265625","0.822265625"
"85","0.818359375","0.818359375","0.818359375"
"90","0.830078125","0.830078125","0.830078125"
"95","0.806640625","0.806640625","0.806640625"
"100","0.80859375","0.80859375","0.80859375"
"105","0.814453125","0.814453125","0.814453125"
"110","0.76953125","0.76953125","0.76953125"
"115","0.779296875","0.779296875","0.779296875"
"120","0.755859375","0.755859375","0.755859375"
"125","0.779296875","0.779296875","0.779296875"
"130","0.748046875","0.748046875","0.748046875"
"135","0.775390625","0.775390625","0.775390625"
"140","0.791015625","0.791015625","0.791015625"
"145","0.814453125","0.814453125","0.814453125"
"150","0.775390625","0.775390625","0.775390625"
"155","0.78515625","0.78515625","0.78515625"
"160","0.7890625","0.7890625","0.7890625"
"165","0.802734375","0.802734375","0.802734375"
"170","0.77734375","0.77734375","0.77734375"
"175","0.828125","0.828125","0.828125"
"180","0.8046875","0.8046875","0.8046875"
"185","0.810546875","0.810546875","0.810546875"
"190","0.79296875","0.79296875","0.79296875"
"195","0.794921875","0.794921875","0.794921875"
"200","0.828125","0.828125","0.828125"
"205","0.796875","0.796875","0.796875"
"210","0.7890625","0.7890625","0.7890625"
"215","0.81640625","0.81640625","0.81640625"
"220","0.8046875","0.8046875","0.8046875"
"225","0.8046875","0.8046875","0.8046875"
"230","0.8125","0.8125","0.8125"
"235","0.77734375","0.77734375","0.77734375"
"240","0.78515625","0.78515625","0.78515625"
"245","0.796875","0.796875","0.796875"
"250","0.77734375","0.77734375","0.77734375"
"255","0.75390625","0.75390625","0.75390625"
"260","0.775390625","0.775390625","0.775390625"
"265","0.76953125","0.76953125","0.76953125"
"270","0.826171875","0.826171875","0.826171875"
"275","0.796875","0.796875","0.796875"
"280","0.75390625","0.75390625","0.75390625"
"285","0.837890625","0.837890625","0.837890625"
"290","0.78515625","0.78515625","0.78515625"
"295","0.7890625","0.7890625","0.7890625"
"300","0.75390625","0.75390625","0.75390625"
"305","0.79296875","0.79296875","0.79296875"
"310","0.775390625","0.775390625","0.775390625"
"315","0.751953125","0.751953125","0.751953125"
"320","0.765625","0.765625","0.765625"
"325","0.78515625","0.78515625","0.78515625"
"330","0.763671875","0.763671875","0.763671875"
"335","0.794921875","0.794921875","0.794921875"
"340","0.759765625","0.759765625","0.759765625"
"345","0.802734375","0.802734375","0.802734375"
"350","0.76953125","0.76953125","0.76953125"
"355","0.8046875","0.8046875","0.8046875"
"360","0.79296875","0.79296875","0.79296875"
"365","0.833984375","0.833984375","0.833984375"
"370","0.77734375","0.77734375","0.77734375"
"375","0.810546875","0.810546875","0.810546875"
"380","0.8203125","0.8203125","0.8203125"
"385","0.80859375","0.80859375","0.80859375"
"390","0.775390625","0.775390625","0.775390625"
"395","0.791015625","0.791015625","0.791015625"
"400","0.818359375","0.818359375","0.818359375"
"405","0.779296875","0.779296875","0.779296875"
"410","0.77734375","0.77734375","0.77734375"
"415","0.77734375","0.77734375","0.77734375"
"420","0.8359375","0.8359375","0.8359375"
"425","0.77734375","0.77734375","0.77734375"
"430","0.779296875","0.779296875","0.779296875"
"435","0.794921875","0.794921875","0.794921875"
"440","0.77734375","0.77734375","0.77734375"
"445","0.82421875","0.82421875","0.82421875"
"450","0.826171875","0.826171875","0.826171875"
"455","0.794921875","0.794921875","0.794921875"
"460","0.8046875","0.8046875","0.8046875"
"465","0.783203125","0.783203125","0.783203125"
"470","0.814453125","0.814453125","0.814453125"
"475","0.7890625","0.7890625","0.7890625"
"480","0.775390625","0.775390625","0.775390625"
"485","0.76171875","0.76171875","0.76171875"
"490","0.78515625","0.78515625","0.78515625"
"495","0.822265625","0.822265625","0.822265625"
"500","0.783203125","0.783203125","0.783203125"
"505","0.8046875","0.8046875","0.8046875"
"510","0.802734375","0.802734375","0.802734375"
"515","0.81640625","0.81640625","0.81640625"
"520","0.78125","0.78125","0.78125"
"525","0.79296875","0.79296875","0.79296875"
"530","0.8203125","0.8203125","0.8203125"
"535","0.798828125","0.798828125","0.798828125"
"540","0.806640625","0.806640625","0.806640625"
"545","0.845703125","0.845703125","0.845703125"
"550","0.810546875","0.810546875","0.810546875"
"555","0.828125","0.828125","0.828125"
"560","0.83203125","0.83203125","0.83203125"
