"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.830078125","0.830078125","0.830078125"
"5","0.822265625","0.822265625","0.822265625"
"10","0.830078125","0.830078125","0.830078125"
"15","0.8203125","0.8203125","0.8203125"
"20","0.8359375","0.8359375","0.8359375"
"25","0.8515625","0.8515625","0.8515625"
"30","0.84765625","0.84765625","0.84765625"
"35","0.845703125","0.845703125","0.845703125"
"40","0.826171875","0.826171875","0.826171875"
"45","0.837890625","0.837890625","0.837890625"
"50","0.841796875","0.841796875","0.841796875"
"55","0.853515625","0.853515625","0.853515625"
"60","0.837890625","0.837890625","0.837890625"
"65","0.861328125","0.861328125","0.861328125"
"70","0.826171875","0.826171875","0.826171875"
"75","0.826171875","0.826171875","0.826171875"
"80","0.826171875","0.826171875","0.826171875"
"85","0.80078125","0.80078125","0.80078125"
"90","0.791015625","0.791015625","0.791015625"
"95","0.79296875","0.79296875","0.79296875"
"100","0.779296875","0.779296875","0.779296875"
"105","0.76171875","0.76171875","0.76171875"
"110","0.771484375","0.771484375","0.771484375"
"115","0.791015625","0.791015625","0.791015625"
"120","0.80078125","0.80078125","0.80078125"
"125","0.779296875","0.779296875","0.779296875"
"130","0.8046875","0.8046875","0.8046875"
"135","0.810546875","0.810546875","0.810546875"
"140","0.814453125","0.814453125","0.814453125"
"145","0.794921875","0.794921875","0.794921875"
"150","0.81640625","0.81640625","0.81640625"
"155","0.80859375","0.80859375","0.80859375"
"160","0.83984375","0.83984375","0.83984375"
"165","0.818359375","0.818359375","0.818359375"
"170","0.833984375","0.833984375","0.833984375"
"175","0.8359375","0.8359375","0.8359375"
"180","0.84375","0.84375","0.84375"
"185","0.806640625","0.806640625","0.806640625"
"190","0.84765625","0.84765625","0.84765625"
"195","0.845703125","0.845703125","0.845703125"
"200","0.853515625","0.853515625","0.853515625"
"205","0.818359375","0.818359375","0.818359375"
"210","0.833984375","0.833984375","0.833984375"
"215","0.8046875","0.8046875","0.8046875"
"220","0.85546875","0.85546875","0.85546875"
"225","0.833984375","0.833984375","0.833984375"
"230","0.80859375","0.80859375","0.80859375"
"235","0.841796875","0.841796875","0.841796875"
"240","0.810546875","0.810546875","0.810546875"
"245","0.81640625","0.81640625","0.81640625"
"250","0.822265625","0.822265625","0.822265625"
"255","0.826171875","0.826171875","0.826171875"
"260","0.828125","0.828125","0.828125"
"265","0.8359375","0.8359375","0.8359375"
"270","0.8203125","0.8203125","0.8203125"
"275","0.8671875","0.8671875","0.8671875"
"280","0.83203125","0.83203125","0.83203125"
"285","0.8125","0.8125","0.8125"
"290","0.833984375","0.833984375","0.833984375"
"295","0.80078125","0.80078125","0.80078125"
"300","0.787109375","0.787109375","0.787109375"
"305","0.826171875","0.826171875","0.826171875"
"310","0.8203125","0.8203125","0.8203125"
"315","0.828125","0.828125","0.828125"
"320","0.83984375","0.83984375","0.83984375"
"325","0.8359375","0.8359375","0.8359375"
"330","0.8125","0.8125","0.8125"
"335","0.822265625","0.822265625","0.822265625"
"340","0.8515625","0.8515625","0.8515625"
"345","0.849609375","0.849609375","0.849609375"
"350","0.833984375","0.833984375","0.833984375"
"355","0.82421875","0.82421875","0.82421875"
"360","0.8515625","0.8515625","0.8515625"
"365","0.830078125","0.830078125","0.830078125"
"370","0.810546875","0.810546875","0.810546875"
"375","0.837890625","0.837890625","0.837890625"
"380","0.8671875","0.8671875","0.8671875"
"385","0.861328125","0.861328125","0.861328125"
"390","0.87890625","0.87890625","0.87890625"
"395","0.84375","0.84375","0.84375"
"400","0.837890625","0.837890625","0.837890625"
"405","0.853515625","0.853515625","0.853515625"
"410","0.861328125","0.861328125","0.861328125"
"415","0.810546875","0.810546875","0.810546875"
"420","0.8203125","0.8203125","0.8203125"
"425","0.83984375","0.83984375","0.83984375"
"430","0.849609375","0.849609375","0.849609375"
"435","0.875","0.875","0.875"
"440","0.8359375","0.8359375","0.8359375"
"445","0.83203125","0.83203125","0.83203125"
"450","0.845703125","0.845703125","0.845703125"
"455","0.84375","0.84375","0.84375"
"460","0.845703125","0.845703125","0.845703125"
"465","0.833984375","0.833984375","0.833984375"
"470","0.833984375","0.833984375","0.833984375"
"475","0.82421875","0.82421875","0.82421875"
"480","0.8125","0.8125","0.8125"
"485","0.853515625","0.853515625","0.853515625"
"490","0.841796875","0.841796875","0.841796875"
"495","0.84375","0.84375","0.84375"
"500","0.828125","0.828125","0.828125"
"505","0.875","0.875","0.875"
"510","0.830078125","0.830078125","0.830078125"
"515","0.82421875","0.82421875","0.82421875"
"520","0.841796875","0.841796875","0.841796875"
"525","0.82421875","0.82421875","0.82421875"
"530","0.849609375","0.849609375","0.849609375"
"535","0.794921875","0.794921875","0.794921875"
"540","0.794921875","0.794921875","0.794921875"
"545","0.8046875","0.8046875","0.8046875"
"550","0.81640625","0.81640625","0.81640625"
"555","0.8046875","0.8046875","0.8046875"
"560","0.830078125","0.830078125","0.830078125"
"565","0.826171875","0.826171875","0.826171875"
"570","0.845703125","0.845703125","0.845703125"
"575","0.830078125","0.830078125","0.830078125"
"580","0.837890625","0.837890625","0.837890625"
"585","0.822265625","0.822265625","0.822265625"
"590","0.87890625","0.87890625","0.87890625"
"595","0.859375","0.859375","0.859375"
"600","0.86328125","0.86328125","0.86328125"
"605","0.861328125","0.861328125","0.861328125"
"610","0.826171875","0.826171875","0.826171875"
"615","0.869140625","0.869140625","0.869140625"
"620","0.865234375","0.865234375","0.865234375"
"625","0.85546875","0.85546875","0.85546875"
"630","0.8515625","0.8515625","0.8515625"
"635","0.859375","0.859375","0.859375"
"640","0.84375","0.84375","0.84375"
"645","0.8671875","0.8671875","0.8671875"
"650","0.84375","0.84375","0.84375"
"655","0.87109375","0.87109375","0.87109375"
"660","0.88671875","0.88671875","0.88671875"
"665","0.908203125","0.908203125","0.908203125"
"670","0.87890625","0.87890625","0.87890625"
"675","0.873046875","0.873046875","0.873046875"
"680","0.892578125","0.892578125","0.892578125"
"685","0.86328125","0.86328125","0.86328125"
"690","0.86328125","0.86328125","0.86328125"
"695","0.892578125","0.892578125","0.892578125"
"700","0.830078125","0.830078125","0.830078125"
"705","0.85546875","0.85546875","0.85546875"
"710","0.83984375","0.83984375","0.83984375"
"715","0.837890625","0.837890625","0.837890625"
"720","0.85546875","0.85546875","0.85546875"
"725","0.833984375","0.833984375","0.833984375"
"730","0.8515625","0.8515625","0.8515625"
"735","0.80078125","0.80078125","0.80078125"
"740","0.822265625","0.822265625","0.822265625"
"745","0.830078125","0.830078125","0.830078125"
"750","0.833984375","0.833984375","0.833984375"
"755","0.814453125","0.814453125","0.814453125"
"760","0.810546875","0.810546875","0.810546875"
"765","0.859375","0.859375","0.859375"
"770","0.83203125","0.83203125","0.83203125"
"775","0.84375","0.84375","0.84375"
"780","0.796875","0.796875","0.796875"
"785","0.810546875","0.810546875","0.810546875"
"790","0.8046875","0.8046875","0.8046875"
"795","0.79296875","0.79296875","0.79296875"
"800","0.83203125","0.83203125","0.83203125"
"805","0.845703125","0.845703125","0.845703125"
"810","0.830078125","0.830078125","0.830078125"
"815","0.857421875","0.857421875","0.857421875"
"820","0.857421875","0.857421875","0.857421875"
"825","0.81640625","0.81640625","0.81640625"
"830","0.837890625","0.837890625","0.837890625"
"835","0.84375","0.84375","0.84375"
"840","0.8671875","0.8671875","0.8671875"
"845","0.849609375","0.849609375","0.849609375"
"850","0.84375","0.84375","0.84375"
"855","0.853515625","0.853515625","0.853515625"
"860","0.798828125","0.798828125","0.798828125"
"865","0.849609375","0.849609375","0.849609375"
"870","0.8671875","0.8671875","0.8671875"
"875","0.859375","0.859375","0.859375"
"880","0.876953125","0.876953125","0.876953125"
"885","0.884765625","0.884765625","0.884765625"
"890","0.869140625","0.869140625","0.869140625"
"895","0.865234375","0.865234375","0.865234375"
"900","0.869140625","0.869140625","0.869140625"
"905","0.833984375","0.833984375","0.833984375"
"910","0.869140625","0.869140625","0.869140625"
"915","0.869140625","0.869140625","0.869140625"
"920","0.8515625","0.8515625","0.8515625"
"925","0.853515625","0.853515625","0.853515625"
"930","0.8359375","0.8359375","0.8359375"
"935","0.845703125","0.845703125","0.845703125"
"940","0.859375","0.859375","0.859375"
"945","0.82421875","0.82421875","0.82421875"
"950","0.826171875","0.826171875","0.826171875"
"955","0.806640625","0.806640625","0.806640625"
"960","0.826171875","0.826171875","0.826171875"
"965","0.84765625","0.84765625","0.84765625"
"970","0.81640625","0.81640625","0.81640625"
"975","0.857421875","0.857421875","0.857421875"
"980","0.837890625","0.837890625","0.837890625"
"985","0.84765625","0.84765625","0.84765625"
"990","0.84765625","0.84765625","0.84765625"
"995","0.859375","0.859375","0.859375"
"1000","0.8515625","0.8515625","0.8515625"
"1005","0.86328125","0.86328125","0.86328125"
"1010","0.859375","0.859375","0.859375"
"1015","0.8359375","0.8359375","0.8359375"
"1020","0.85546875","0.85546875","0.85546875"
"1025","0.865234375","0.865234375","0.865234375"
"1030","0.85546875","0.85546875","0.85546875"
"1035","0.873046875","0.873046875","0.873046875"
"1040","0.857421875","0.857421875","0.857421875"
"1045","0.845703125","0.845703125","0.845703125"
"1050","0.865234375","0.865234375","0.865234375"
"1055","0.85546875","0.85546875","0.85546875"
"1060","0.861328125","0.861328125","0.861328125"
"1065","0.853515625","0.853515625","0.853515625"
"1070","0.84765625","0.84765625","0.84765625"
"1075","0.869140625","0.869140625","0.869140625"
"1080","0.88671875","0.88671875","0.88671875"
"1085","0.86328125","0.86328125","0.86328125"
"1090","0.8515625","0.8515625","0.8515625"
"1095","0.869140625","0.869140625","0.869140625"
"1100","0.810546875","0.810546875","0.810546875"
"1105","0.822265625","0.822265625","0.822265625"
