"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"0","0.822265625","0.822265625","0.822265625"
"5","0.80859375","0.80859375","0.80859375"
"10","0.80078125","0.80078125","0.80078125"
"15","0.77734375","0.77734375","0.77734375"
"20","0.798828125","0.798828125","0.798828125"
"25","0.779296875","0.779296875","0.779296875"
"30","0.771484375","0.771484375","0.771484375"
"35","0.76171875","0.76171875","0.76171875"
"40","0.794921875","0.794921875","0.794921875"
"45","0.76953125","0.76953125","0.76953125"
"50","0.8046875","0.8046875","0.8046875"
"55","0.783203125","0.783203125","0.783203125"
"60","0.810546875","0.810546875","0.810546875"
"65","0.798828125","0.798828125","0.798828125"
"70","0.79296875","0.79296875","0.79296875"
"75","0.75390625","0.75390625","0.75390625"
"80","0.826171875","0.826171875","0.826171875"
"85","0.765625","0.765625","0.765625"
"90","0.7578125","0.7578125","0.7578125"
"95","0.7890625","0.7890625","0.7890625"
"100","0.771484375","0.771484375","0.771484375"
"105","0.78515625","0.78515625","0.78515625"
"110","0.7890625","0.7890625","0.7890625"
"115","0.78125","0.78125","0.78125"
"120","0.796875","0.796875","0.796875"
"125","0.8046875","0.8046875","0.8046875"
"130","0.78515625","0.78515625","0.78515625"
"135","0.783203125","0.783203125","0.783203125"
"140","0.802734375","0.802734375","0.802734375"
"145","0.7421875","0.7421875","0.7421875"
"150","0.7734375","0.7734375","0.7734375"
"155","0.755859375","0.755859375","0.755859375"
"160","0.77734375","0.77734375","0.77734375"
"165","0.78515625","0.78515625","0.78515625"
"170","0.794921875","0.794921875","0.794921875"
"175","0.791015625","0.791015625","0.791015625"
"180","0.8046875","0.8046875","0.8046875"
"185","0.806640625","0.806640625","0.806640625"
"190","0.767578125","0.767578125","0.767578125"
"195","0.7890625","0.7890625","0.7890625"
"200","0.8046875","0.8046875","0.8046875"
"205","0.755859375","0.755859375","0.755859375"
"210","0.7890625","0.7890625","0.7890625"
"215","0.73828125","0.73828125","0.73828125"
"220","0.74609375","0.74609375","0.74609375"
"225","0.775390625","0.775390625","0.775390625"
"230","0.798828125","0.798828125","0.798828125"
"235","0.830078125","0.830078125","0.830078125"
"240","0.7578125","0.7578125","0.7578125"
"245","0.798828125","0.798828125","0.798828125"
"250","0.796875","0.796875","0.796875"
"255","0.77734375","0.77734375","0.77734375"
"260","0.712890625","0.712890625","0.712890625"
"265","0.7890625","0.7890625","0.7890625"
"270","0.80078125","0.80078125","0.80078125"
"275","0.7890625","0.7890625","0.7890625"
"280","0.783203125","0.783203125","0.783203125"
"285","0.7734375","0.7734375","0.7734375"
"290","0.767578125","0.767578125","0.767578125"
"295","0.787109375","0.787109375","0.787109375"
"300","0.794921875","0.794921875","0.794921875"
"305","0.798828125","0.798828125","0.798828125"
"310","0.76171875","0.76171875","0.76171875"
"315","0.794921875","0.794921875","0.794921875"
"320","0.8125","0.8125","0.8125"
"325","0.818359375","0.818359375","0.818359375"
"330","0.849609375","0.849609375","0.849609375"
"335","0.80859375","0.80859375","0.80859375"
"340","0.794921875","0.794921875","0.794921875"
"345","0.794921875","0.794921875","0.794921875"
"350","0.82421875","0.82421875","0.82421875"
"355","0.837890625","0.837890625","0.837890625"
"360","0.810546875","0.810546875","0.810546875"
"365","0.814453125","0.814453125","0.814453125"
"370","0.765625","0.765625","0.765625"
"375","0.794921875","0.794921875","0.794921875"
"380","0.818359375","0.818359375","0.818359375"
"385","0.82421875","0.82421875","0.82421875"
"390","0.798828125","0.798828125","0.798828125"
"395","0.818359375","0.818359375","0.818359375"
"400","0.8125","0.8125","0.8125"
"405","0.8046875","0.8046875","0.8046875"
"410","0.8203125","0.8203125","0.8203125"
"415","0.767578125","0.767578125","0.767578125"
"420","0.8125","0.8125","0.8125"
"425","0.771484375","0.771484375","0.771484375"
"430","0.810546875","0.810546875","0.810546875"
"435","0.826171875","0.826171875","0.826171875"
"440","0.767578125","0.767578125","0.767578125"
"445","0.755859375","0.755859375","0.755859375"
"450","0.791015625","0.791015625","0.791015625"
"455","0.814453125","0.814453125","0.814453125"
"460","0.7890625","0.7890625","0.7890625"
"465","0.779296875","0.779296875","0.779296875"
"470","0.765625","0.765625","0.765625"
"475","0.76953125","0.76953125","0.76953125"
"480","0.755859375","0.755859375","0.755859375"
"485","0.8203125","0.8203125","0.8203125"
"490","0.828125","0.828125","0.828125"
"495","0.828125","0.828125","0.828125"
"500","0.798828125","0.798828125","0.798828125"
"505","0.818359375","0.818359375","0.818359375"
"510","0.822265625","0.822265625","0.822265625"
"515","0.77734375","0.77734375","0.77734375"
"520","0.828125","0.828125","0.828125"
"525","0.8125","0.8125","0.8125"
"530","0.8046875","0.8046875","0.8046875"
"535","0.810546875","0.810546875","0.810546875"
"540","0.83203125","0.83203125","0.83203125"
"545","0.81640625","0.81640625","0.81640625"
"550","0.791015625","0.791015625","0.791015625"
"555","0.837890625","0.837890625","0.837890625"
"560","0.8203125","0.8203125","0.8203125"
"565","0.802734375","0.802734375","0.802734375"
"570","0.7734375","0.7734375","0.7734375"
"575","0.794921875","0.794921875","0.794921875"
"580","0.84765625","0.84765625","0.84765625"
"585","0.8359375","0.8359375","0.8359375"
"590","0.83984375","0.83984375","0.83984375"
"595","0.8359375","0.8359375","0.8359375"
"600","0.865234375","0.865234375","0.865234375"
"605","0.8203125","0.8203125","0.8203125"
"610","0.845703125","0.845703125","0.845703125"
"615","0.80859375","0.80859375","0.80859375"
"620","0.810546875","0.810546875","0.810546875"
"625","0.830078125","0.830078125","0.830078125"
"630","0.79296875","0.79296875","0.79296875"
"635","0.822265625","0.822265625","0.822265625"
"640","0.80859375","0.80859375","0.80859375"
"645","0.791015625","0.791015625","0.791015625"
"650","0.810546875","0.810546875","0.810546875"
"655","0.796875","0.796875","0.796875"
"660","0.80859375","0.80859375","0.80859375"
"665","0.814453125","0.814453125","0.814453125"
"670","0.8359375","0.8359375","0.8359375"
"675","0.802734375","0.802734375","0.802734375"
"680","0.81640625","0.81640625","0.81640625"
"685","0.79296875","0.79296875","0.79296875"
"690","0.787109375","0.787109375","0.787109375"
"695","0.806640625","0.806640625","0.806640625"
"700","0.76171875","0.76171875","0.76171875"
"705","0.8203125","0.8203125","0.8203125"
"710","0.814453125","0.814453125","0.814453125"
"715","0.818359375","0.818359375","0.818359375"
"720","0.771484375","0.771484375","0.771484375"
"725","0.791015625","0.791015625","0.791015625"
"730","0.775390625","0.775390625","0.775390625"
"735","0.76953125","0.76953125","0.76953125"
"740","0.7890625","0.7890625","0.7890625"
"745","0.765625","0.765625","0.765625"
"750","0.818359375","0.818359375","0.818359375"
"755","0.798828125","0.798828125","0.798828125"
"760","0.76171875","0.76171875","0.76171875"
"765","0.810546875","0.810546875","0.810546875"
"770","0.8125","0.8125","0.8125"
"775","0.798828125","0.798828125","0.798828125"
"780","0.796875","0.796875","0.796875"
"785","0.80078125","0.80078125","0.80078125"
"790","0.830078125","0.830078125","0.830078125"
"795","0.828125","0.828125","0.828125"
"800","0.796875","0.796875","0.796875"
"805","0.814453125","0.814453125","0.814453125"
"810","0.80859375","0.80859375","0.80859375"
"815","0.83984375","0.83984375","0.83984375"
"820","0.810546875","0.810546875","0.810546875"
"825","0.80859375","0.80859375","0.80859375"
"830","0.83203125","0.83203125","0.83203125"
"835","0.79296875","0.79296875","0.79296875"
"840","0.818359375","0.818359375","0.818359375"
"845","0.8203125","0.8203125","0.8203125"
"850","0.841796875","0.841796875","0.841796875"
"855","0.84375","0.84375","0.84375"
"860","0.845703125","0.845703125","0.845703125"
"865","0.84375","0.84375","0.84375"
"870","0.810546875","0.810546875","0.810546875"
"875","0.828125","0.828125","0.828125"
"880","0.818359375","0.818359375","0.818359375"
"885","0.818359375","0.818359375","0.818359375"
"890","0.810546875","0.810546875","0.810546875"
"895","0.845703125","0.845703125","0.845703125"
"900","0.845703125","0.845703125","0.845703125"
"905","0.8515625","0.8515625","0.8515625"
"910","0.806640625","0.806640625","0.806640625"
"915","0.8203125","0.8203125","0.8203125"
"920","0.806640625","0.806640625","0.806640625"
"925","0.8203125","0.8203125","0.8203125"
"930","0.81640625","0.81640625","0.81640625"
"935","0.77734375","0.77734375","0.77734375"
"940","0.767578125","0.767578125","0.767578125"
"945","0.79296875","0.79296875","0.79296875"
"950","0.8125","0.8125","0.8125"
"955","0.791015625","0.791015625","0.791015625"
"960","0.759765625","0.759765625","0.759765625"
"965","0.791015625","0.791015625","0.791015625"
"970","0.806640625","0.806640625","0.806640625"
"975","0.802734375","0.802734375","0.802734375"
"980","0.82421875","0.82421875","0.82421875"
"985","0.810546875","0.810546875","0.810546875"
"990","0.802734375","0.802734375","0.802734375"
"995","0.8203125","0.8203125","0.8203125"
