"Step","inrl-temporal-6 - eval/black_vs_baseline","inrl-temporal-6 - eval/black_vs_baseline__MIN","inrl-temporal-6 - eval/black_vs_baseline__MAX"
"735","0.357421875","0.357421875","0.357421875"
"740","0.390625","0.390625","0.390625"
"745","0.34765625","0.34765625","0.34765625"
"750","0.390625","0.390625","0.390625"
"755","0.388671875","0.388671875","0.388671875"
"760","0.359375","0.359375","0.359375"
"765","0.41015625","0.41015625","0.41015625"
"770","0.396484375","0.396484375","0.396484375"
"775","0.44140625","0.44140625","0.44140625"
"780","0.412109375","0.412109375","0.412109375"
"785","0.41796875","0.41796875","0.41796875"
"790","0.482421875","0.482421875","0.482421875"
"795","0.470703125","0.470703125","0.470703125"
"800","0.4609375","0.4609375","0.4609375"
"805","0.443359375","0.443359375","0.443359375"
"810","0.4765625","0.4765625","0.4765625"
"815","0.482421875","0.482421875","0.482421875"
"820","0.513671875","0.513671875","0.513671875"
"825","0.47265625","0.47265625","0.47265625"
"830","0.513671875","0.513671875","0.513671875"
"835","0.50390625","0.50390625","0.50390625"
"840","0.48828125","0.48828125","0.48828125"
"845","0.529296875","0.529296875","0.529296875"
"850","0.568359375","0.568359375","0.568359375"
"855","0.58203125","0.58203125","0.58203125"
"860","0.59765625","0.59765625","0.59765625"
"865","0.603515625","0.603515625","0.603515625"
"870","0.59765625","0.59765625","0.59765625"
"875","0.5703125","0.5703125","0.5703125"
"880","0.61328125","0.61328125","0.61328125"
"885","0.66015625","0.66015625","0.66015625"
"890","0.609375","0.609375","0.609375"
"895","0.5546875","0.5546875","0.5546875"
"900","0.59765625","0.59765625","0.59765625"
"905","0.62109375","0.62109375","0.62109375"
"910","0.5703125","0.5703125","0.5703125"
"915","0.638671875","0.638671875","0.638671875"
"920","0.62109375","0.62109375","0.62109375"
"925","0.595703125","0.595703125","0.595703125"
"930","0.583984375","0.583984375","0.583984375"
"935","0.63671875","0.63671875","0.63671875"
"940","0.6328125","0.6328125","0.6328125"
"945","0.5625","0.5625","0.5625"
"950","0.599609375","0.599609375","0.599609375"
"955","0.65625","0.65625","0.65625"
"960","0.640625","0.640625","0.640625"
"965","0.6875","0.6875","0.6875"
"970","0.697265625","0.697265625","0.697265625"
"975","0.65625","0.65625","0.65625"
"980","0.626953125","0.626953125","0.626953125"
"985","0.6640625","0.6640625","0.6640625"
"990","0.59375","0.59375","0.59375"
"995","0.607421875","0.607421875","0.607421875"
"1000","0.580078125","0.580078125","0.580078125"
"1005","0.521484375","0.521484375","0.521484375"
"1010","0.578125","0.578125","0.578125"
"1015","0.525390625","0.525390625","0.525390625"
"1020","0.576171875","0.576171875","0.576171875"
"1025","0.5546875","0.5546875","0.5546875"
"1030","0.552734375","0.552734375","0.552734375"
"1035","0.56640625","0.56640625","0.56640625"
"1040","0.58984375","0.58984375","0.58984375"
"1045","0.556640625","0.556640625","0.556640625"
"1050","0.548828125","0.548828125","0.548828125"
"1055","0.568359375","0.568359375","0.568359375"
"1060","0.53125","0.53125","0.53125"
"1065","0.568359375","0.568359375","0.568359375"
"1070","0.51953125","0.51953125","0.51953125"
"1075","0.55859375","0.55859375","0.55859375"
"1080","0.572265625","0.572265625","0.572265625"
"1085","0.65625","0.65625","0.65625"
"1090","0.595703125","0.595703125","0.595703125"
"1095","0.615234375","0.615234375","0.615234375"
"1100","0.6484375","0.6484375","0.6484375"
"1105","0.62890625","0.62890625","0.62890625"
"1110","0.677734375","0.677734375","0.677734375"
"1115","0.658203125","0.658203125","0.658203125"
"1120","0.591796875","0.591796875","0.591796875"
"1125","0.595703125","0.595703125","0.595703125"
"1130","0.51171875","0.51171875","0.51171875"
"1135","0.486328125","0.486328125","0.486328125"
"1140","0.513671875","0.513671875","0.513671875"
"1145","0.513671875","0.513671875","0.513671875"
"1150","0.541015625","0.541015625","0.541015625"
"1155","0.546875","0.546875","0.546875"
"1160","0.578125","0.578125","0.578125"
"1165","0.521484375","0.521484375","0.521484375"
"1170","0.533203125","0.533203125","0.533203125"
"1175","0.51171875","0.51171875","0.51171875"
"1180","0.576171875","0.576171875","0.576171875"
"1185","0.521484375","0.521484375","0.521484375"
"1190","0.556640625","0.556640625","0.556640625"
"1195","0.5390625","0.5390625","0.5390625"
"1200","0.498046875","0.498046875","0.498046875"
"1205","0.52734375","0.52734375","0.52734375"
"1210","0.599609375","0.599609375","0.599609375"
"1215","0.57421875","0.57421875","0.57421875"
"1220","0.560546875","0.560546875","0.560546875"
"1225","0.572265625","0.572265625","0.572265625"
"1230","0.578125","0.578125","0.578125"
"1235","0.609375","0.609375","0.609375"
"1240","0.603515625","0.603515625","0.603515625"
"1245","0.5703125","0.5703125","0.5703125"
"1250","0.517578125","0.517578125","0.517578125"
"1255","0.474609375","0.474609375","0.474609375"
"1260","0.5078125","0.5078125","0.5078125"
"1265","0.509765625","0.509765625","0.509765625"
"1270","0.470703125","0.470703125","0.470703125"
"1275","0.53515625","0.53515625","0.53515625"
"1280","0.583984375","0.583984375","0.583984375"
"1285","0.658203125","0.658203125","0.658203125"
"1290","0.568359375","0.568359375","0.568359375"
"1295","0.564453125","0.564453125","0.564453125"
"1300","0.52734375","0.52734375","0.52734375"
"1305","0.578125","0.578125","0.578125"
"1310","0.5703125","0.5703125","0.5703125"
"1315","0.583984375","0.583984375","0.583984375"
"1320","0.62109375","0.62109375","0.62109375"
"1325","0.564453125","0.564453125","0.564453125"
"1330","0.541015625","0.541015625","0.541015625"
"1335","0.50390625","0.50390625","0.50390625"
"1340","0.458984375","0.458984375","0.458984375"
"1345","0.431640625","0.431640625","0.431640625"
"1350","0.470703125","0.470703125","0.470703125"
"1355","0.453125","0.453125","0.453125"
"1360","0.451171875","0.451171875","0.451171875"
"1365","0.41796875","0.41796875","0.41796875"
"1370","0.41796875","0.41796875","0.41796875"
"1375","0.462890625","0.462890625","0.462890625"
"1380","0.44921875","0.44921875","0.44921875"
"1385","0.443359375","0.443359375","0.443359375"
"1390","0.42578125","0.42578125","0.42578125"
"1395","0.48828125","0.48828125","0.48828125"
"1400","0.439453125","0.439453125","0.439453125"
"1405","0.42578125","0.42578125","0.42578125"
"1410","0.470703125","0.470703125","0.470703125"
"1415","0.419921875","0.419921875","0.419921875"
"1420","0.43359375","0.43359375","0.43359375"
"1425","0.48828125","0.48828125","0.48828125"
"1430","0.5078125","0.5078125","0.5078125"
"1435","0.517578125","0.517578125","0.517578125"
"1440","0.5234375","0.5234375","0.5234375"
"1445","0.541015625","0.541015625","0.541015625"
"1450","0.568359375","0.568359375","0.568359375"
"1455","0.552734375","0.552734375","0.552734375"
"1460","0.568359375","0.568359375","0.568359375"
"1465","0.5703125","0.5703125","0.5703125"
"1470","0.541015625","0.541015625","0.541015625"
"1475","0.541015625","0.541015625","0.541015625"
"1480","0.537109375","0.537109375","0.537109375"
"1485","0.544921875","0.544921875","0.544921875"
"1490","0.580078125","0.580078125","0.580078125"
"1495","0.5625","0.5625","0.5625"
"1500","0.544921875","0.544921875","0.544921875"
"1505","0.564453125","0.564453125","0.564453125"
"1510","0.564453125","0.564453125","0.564453125"
"1515","0.587890625","0.587890625","0.587890625"
"1520","0.65234375","0.65234375","0.65234375"
"1525","0.59375","0.59375","0.59375"
"1530","0.603515625","0.603515625","0.603515625"
"1535","0.6484375","0.6484375","0.6484375"
"1540","0.650390625","0.650390625","0.650390625"
"1545","0.658203125","0.658203125","0.658203125"
"1550","0.64453125","0.64453125","0.64453125"
"1555","0.630859375","0.630859375","0.630859375"
"1560","0.69921875","0.69921875","0.69921875"
"1565","0.677734375","0.677734375","0.677734375"
"1570","0.751953125","0.751953125","0.751953125"
"1575","0.689453125","0.689453125","0.689453125"
"1580","0.73046875","0.73046875","0.73046875"
"1585","0.720703125","0.720703125","0.720703125"
"1590","0.625","0.625","0.625"
"1595","0.685546875","0.685546875","0.685546875"
"1600","0.650390625","0.650390625","0.650390625"
"1605","0.640625","0.640625","0.640625"
"1610","0.626953125","0.626953125","0.626953125"
"1615","0.65234375","0.65234375","0.65234375"
"1620","0.734375","0.734375","0.734375"
"1625","0.70703125","0.70703125","0.70703125"
"1630","0.76171875","0.76171875","0.76171875"
"1635","0.66015625","0.66015625","0.66015625"
"1640","0.673828125","0.673828125","0.673828125"
"1645","0.650390625","0.650390625","0.650390625"
"1650","0.65234375","0.65234375","0.65234375"
"1655","0.607421875","0.607421875","0.607421875"
"1660","0.630859375","0.630859375","0.630859375"
"1665","0.62890625","0.62890625","0.62890625"
"1670","0.505859375","0.505859375","0.505859375"
"1675","0.650390625","0.650390625","0.650390625"
"1680","0.66015625","0.66015625","0.66015625"
"1685","0.689453125","0.689453125","0.689453125"
"1690","0.66015625","0.66015625","0.66015625"
"1695","0.677734375","0.677734375","0.677734375"
"1700","0.697265625","0.697265625","0.697265625"
"1705","0.62890625","0.62890625","0.62890625"
"1710","0.654296875","0.654296875","0.654296875"
"1715","0.66015625","0.66015625","0.66015625"
"1720","0.607421875","0.607421875","0.607421875"
"1725","0.59765625","0.59765625","0.59765625"
"1730","0.638671875","0.638671875","0.638671875"
"1735","0.669921875","0.669921875","0.669921875"
"1740","0.646484375","0.646484375","0.646484375"
"1745","0.634765625","0.634765625","0.634765625"
"1750","0.64453125","0.64453125","0.64453125"
"1755","0.650390625","0.650390625","0.650390625"
"1760","0.640625","0.640625","0.640625"
"1765","0.607421875","0.607421875","0.607421875"
"1770","0.623046875","0.623046875","0.623046875"
"1775","0.62890625","0.62890625","0.62890625"
"1780","0.6015625","0.6015625","0.6015625"
"1785","0.662109375","0.662109375","0.662109375"
"1790","0.646484375","0.646484375","0.646484375"
"1795","0.59765625","0.59765625","0.59765625"
"1800","0.60546875","0.60546875","0.60546875"
"1805","0.63671875","0.63671875","0.63671875"
"1810","0.5859375","0.5859375","0.5859375"
"1815","0.6640625","0.6640625","0.6640625"
"1820","0.6015625","0.6015625","0.6015625"
"1825","0.66015625","0.66015625","0.66015625"
"1830","0.6171875","0.6171875","0.6171875"
"1835","0.662109375","0.662109375","0.662109375"
"1840","0.630859375","0.630859375","0.630859375"
"1845","0.630859375","0.630859375","0.630859375"
"1850","0.638671875","0.638671875","0.638671875"
"1855","0.626953125","0.626953125","0.626953125"
"1860","0.607421875","0.607421875","0.607421875"
"1865","0.640625","0.640625","0.640625"
"1870","0.619140625","0.619140625","0.619140625"
"1875","0.671875","0.671875","0.671875"
"1880","0.634765625","0.634765625","0.634765625"
"1885","0.666015625","0.666015625","0.666015625"
"1890","0.63671875","0.63671875","0.63671875"
"1895","0.623046875","0.623046875","0.623046875"
"1900","0.61328125","0.61328125","0.61328125"
"1905","0.61328125","0.61328125","0.61328125"
"1910","0.603515625","0.603515625","0.603515625"
"1915","0.619140625","0.619140625","0.619140625"
"1920","0.630859375","0.630859375","0.630859375"
"1925","0.58984375","0.58984375","0.58984375"
"1930","0.669921875","0.669921875","0.669921875"
"1935","0.62890625","0.62890625","0.62890625"
"1940","0.6328125","0.6328125","0.6328125"
"1945","0.658203125","0.658203125","0.658203125"
"1950","0.642578125","0.642578125","0.642578125"
"1955","0.654296875","0.654296875","0.654296875"
"1960","0.689453125","0.689453125","0.689453125"
"1965","0.677734375","0.677734375","0.677734375"
"1970","0.6796875","0.6796875","0.6796875"
"1975","0.6796875","0.6796875","0.6796875"
"1980","0.6640625","0.6640625","0.6640625"
"1985","0.62890625","0.62890625","0.62890625"
"1990","0.671875","0.671875","0.671875"
"1995","0.640625","0.640625","0.640625"
