"Step","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MIN","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MAX"
"0","0","0","0"
"5","0","0","0"
"10","0","0","0"
"15","0","0","0"
"20","0","0","0"
"25","0.00390625","0.00390625","0.00390625"
"30","0","0","0"
"35","0","0","0"
"40","0.0234375","0.0234375","0.0234375"
"45","0.052734375","0.052734375","0.052734375"
"50","0.072265625","0.072265625","0.072265625"
"55","0.115234375","0.115234375","0.115234375"
"60","0.150390625","0.150390625","0.150390625"
"65","0.158203125","0.158203125","0.158203125"
"70","0.212890625","0.212890625","0.212890625"
"75","0.208984375","0.208984375","0.208984375"
"80","0.1875","0.1875","0.1875"
"85","0.23046875","0.23046875","0.23046875"
"90","0.220703125","0.220703125","0.220703125"
"95","0.220703125","0.220703125","0.220703125"
"100","0.244140625","0.244140625","0.244140625"
"105","0.2109375","0.2109375","0.2109375"
"110","0.216796875","0.216796875","0.216796875"
"115","0.1875","0.1875","0.1875"
"120","0.20703125","0.20703125","0.20703125"
"125","0.197265625","0.197265625","0.197265625"
"130","0.228515625","0.228515625","0.228515625"
"135","0.236328125","0.236328125","0.236328125"
"140","0.20703125","0.20703125","0.20703125"
"145","0.25","0.25","0.25"
"150","0.19921875","0.19921875","0.19921875"
"155","0.2265625","0.2265625","0.2265625"
"160","0.22265625","0.22265625","0.22265625"
"165","0.208984375","0.208984375","0.208984375"
"170","0.21484375","0.21484375","0.21484375"
"175","0.189453125","0.189453125","0.189453125"
"180","0.21484375","0.21484375","0.21484375"
"185","0.205078125","0.205078125","0.205078125"
"190","0.228515625","0.228515625","0.228515625"
"195","0.193359375","0.193359375","0.193359375"
"200","0.248046875","0.248046875","0.248046875"
"205","0.244140625","0.244140625","0.244140625"
"210","0.265625","0.265625","0.265625"
"215","0.216796875","0.216796875","0.216796875"
"220","0.208984375","0.208984375","0.208984375"
"225","0.25390625","0.25390625","0.25390625"
"230","0.279296875","0.279296875","0.279296875"
"235","0.251953125","0.251953125","0.251953125"
"240","0.267578125","0.267578125","0.267578125"
"245","0.216796875","0.216796875","0.216796875"
"250","0.17578125","0.17578125","0.17578125"
"255","0.240234375","0.240234375","0.240234375"
"260","0.205078125","0.205078125","0.205078125"
"265","0.23828125","0.23828125","0.23828125"
"270","0.19921875","0.19921875","0.19921875"
"275","0.228515625","0.228515625","0.228515625"
"280","0.146484375","0.146484375","0.146484375"
"285","0.177734375","0.177734375","0.177734375"
"290","0.1953125","0.1953125","0.1953125"
"295","0.16015625","0.16015625","0.16015625"
"300","0.216796875","0.216796875","0.216796875"
"305","0.17578125","0.17578125","0.17578125"
"310","0.20703125","0.20703125","0.20703125"
"315","0.208984375","0.208984375","0.208984375"
"320","0.193359375","0.193359375","0.193359375"
"325","0.18359375","0.18359375","0.18359375"
"330","0.197265625","0.197265625","0.197265625"
"335","0.169921875","0.169921875","0.169921875"
"340","0.1953125","0.1953125","0.1953125"
"345","0.18359375","0.18359375","0.18359375"
"350","0.19140625","0.19140625","0.19140625"
"355","0.20703125","0.20703125","0.20703125"
"360","0.1953125","0.1953125","0.1953125"
"365","0.22265625","0.22265625","0.22265625"
"370","0.25","0.25","0.25"
"375","0.244140625","0.244140625","0.244140625"
"380","0.203125","0.203125","0.203125"
"385","0.236328125","0.236328125","0.236328125"
"390","0.2890625","0.2890625","0.2890625"
"395","0.302734375","0.302734375","0.302734375"
"400","0.21875","0.21875","0.21875"
"405","0.263671875","0.263671875","0.263671875"
"410","0.244140625","0.244140625","0.244140625"
"415","0.21875","0.21875","0.21875"
"420","0.267578125","0.267578125","0.267578125"
"425","0.3046875","0.3046875","0.3046875"
"430","0.244140625","0.244140625","0.244140625"
"435","0.3125","0.3125","0.3125"
"440","0.291015625","0.291015625","0.291015625"
"445","0.3203125","0.3203125","0.3203125"
"450","0.2890625","0.2890625","0.2890625"
"455","0.3046875","0.3046875","0.3046875"
"460","0.373046875","0.373046875","0.373046875"
"465","0.365234375","0.365234375","0.365234375"
"470","0.291015625","0.291015625","0.291015625"
"475","0.3515625","0.3515625","0.3515625"
"480","0.330078125","0.330078125","0.330078125"
"485","0.326171875","0.326171875","0.326171875"
"490","0.3515625","0.3515625","0.3515625"
"495","0.328125","0.328125","0.328125"
"500","0.27734375","0.27734375","0.27734375"
"505","0.328125","0.328125","0.328125"
"510","0.353515625","0.353515625","0.353515625"
"515","0.35546875","0.35546875","0.35546875"
"520","0.333984375","0.333984375","0.333984375"
"525","0.37890625","0.37890625","0.37890625"
"530","0.34375","0.34375","0.34375"
"535","0.365234375","0.365234375","0.365234375"
"540","0.376953125","0.376953125","0.376953125"
"545","0.42578125","0.42578125","0.42578125"
"550","0.384765625","0.384765625","0.384765625"
"555","0.384765625","0.384765625","0.384765625"
"560","0.470703125","0.470703125","0.470703125"
"565","0.427734375","0.427734375","0.427734375"
"570","0.4375","0.4375","0.4375"
"575","0.45703125","0.45703125","0.45703125"
"580","0.46484375","0.46484375","0.46484375"
"585","0.431640625","0.431640625","0.431640625"
"590","0.52734375","0.52734375","0.52734375"
"595","0.576171875","0.576171875","0.576171875"
"600","0.564453125","0.564453125","0.564453125"
"605","0.62109375","0.62109375","0.62109375"
"610","0.705078125","0.705078125","0.705078125"
"615","0.607421875","0.607421875","0.607421875"
