"Step","inrl-balance-ema-v1 - eval/black_vs_baseline","inrl-balance-ema-v1 - eval/black_vs_baseline__MIN","inrl-balance-ema-v1 - eval/black_vs_baseline__MAX"
"0","0.7265625","0.7265625","0.7265625"
"5","0.728515625","0.728515625","0.728515625"
"10","0.68359375","0.68359375","0.68359375"
"15","0.765625","0.765625","0.765625"
"20","0.728515625","0.728515625","0.728515625"
"25","0.66796875","0.66796875","0.66796875"
"30","0.728515625","0.728515625","0.728515625"
"35","0.74609375","0.74609375","0.74609375"
"40","0.748046875","0.748046875","0.748046875"
"45","0.732421875","0.732421875","0.732421875"
"50","0.73046875","0.73046875","0.73046875"
"55","0.705078125","0.705078125","0.705078125"
"60","0.7109375","0.7109375","0.7109375"
"65","0.74609375","0.74609375","0.74609375"
"70","0.73046875","0.73046875","0.73046875"
"75","0.70703125","0.70703125","0.70703125"
"80","0.748046875","0.748046875","0.748046875"
"85","0.78125","0.78125","0.78125"
"90","0.75390625","0.75390625","0.75390625"
"95","0.75390625","0.75390625","0.75390625"
"100","0.732421875","0.732421875","0.732421875"
"105","0.72265625","0.72265625","0.72265625"
"110","0.68359375","0.68359375","0.68359375"
"115","0.740234375","0.740234375","0.740234375"
"120","0.716796875","0.716796875","0.716796875"
"125","0.71875","0.71875","0.71875"
"130","0.73046875","0.73046875","0.73046875"
"135","0.78515625","0.78515625","0.78515625"
"140","0.78515625","0.78515625","0.78515625"
"145","0.76953125","0.76953125","0.76953125"
"150","0.76171875","0.76171875","0.76171875"
"155","0.748046875","0.748046875","0.748046875"
"160","0.751953125","0.751953125","0.751953125"
"165","0.744140625","0.744140625","0.744140625"
"170","0.748046875","0.748046875","0.748046875"
"175","0.7578125","0.7578125","0.7578125"
"180","0.7578125","0.7578125","0.7578125"
"185","0.654296875","0.654296875","0.654296875"
"190","0.775390625","0.775390625","0.775390625"
"195","0.72265625","0.72265625","0.72265625"
"200","0.796875","0.796875","0.796875"
"205","0.73828125","0.73828125","0.73828125"
"210","0.748046875","0.748046875","0.748046875"
"215","0.787109375","0.787109375","0.787109375"
"220","0.771484375","0.771484375","0.771484375"
"225","0.806640625","0.806640625","0.806640625"
"230","0.767578125","0.767578125","0.767578125"
"235","0.7109375","0.7109375","0.7109375"
"240","0.74609375","0.74609375","0.74609375"
"245","0.787109375","0.787109375","0.787109375"
"250","0.732421875","0.732421875","0.732421875"
"255","0.7265625","0.7265625","0.7265625"
"260","0.740234375","0.740234375","0.740234375"
"265","0.787109375","0.787109375","0.787109375"
"270","0.79296875","0.79296875","0.79296875"
"275","0.796875","0.796875","0.796875"
"280","0.763671875","0.763671875","0.763671875"
"285","0.77734375","0.77734375","0.77734375"
"290","0.7890625","0.7890625","0.7890625"
"295","0.77734375","0.77734375","0.77734375"
"300","0.763671875","0.763671875","0.763671875"
"305","0.751953125","0.751953125","0.751953125"
"310","0.76171875","0.76171875","0.76171875"
"315","0.7421875","0.7421875","0.7421875"
"320","0.765625","0.765625","0.765625"
"325","0.7421875","0.7421875","0.7421875"
"330","0.73046875","0.73046875","0.73046875"
"335","0.744140625","0.744140625","0.744140625"
"340","0.779296875","0.779296875","0.779296875"
"345","0.755859375","0.755859375","0.755859375"
"350","0.7578125","0.7578125","0.7578125"
"355","0.701171875","0.701171875","0.701171875"
"360","0.7421875","0.7421875","0.7421875"
"365","0.7421875","0.7421875","0.7421875"
"370","0.744140625","0.744140625","0.744140625"
"375","0.775390625","0.775390625","0.775390625"
"380","0.76171875","0.76171875","0.76171875"
"385","0.78125","0.78125","0.78125"
"390","0.75","0.75","0.75"
"395","0.8203125","0.8203125","0.8203125"
"400","0.7578125","0.7578125","0.7578125"
"405","0.77734375","0.77734375","0.77734375"
"410","0.771484375","0.771484375","0.771484375"
"415","0.76953125","0.76953125","0.76953125"
"420","0.744140625","0.744140625","0.744140625"
"425","0.796875","0.796875","0.796875"
"430","0.73046875","0.73046875","0.73046875"
"435","0.7890625","0.7890625","0.7890625"
"440","0.791015625","0.791015625","0.791015625"
"445","0.763671875","0.763671875","0.763671875"
"450","0.751953125","0.751953125","0.751953125"
"455","0.7890625","0.7890625","0.7890625"
"460","0.751953125","0.751953125","0.751953125"
"465","0.7421875","0.7421875","0.7421875"
"470","0.748046875","0.748046875","0.748046875"
"475","0.73828125","0.73828125","0.73828125"
"480","0.7265625","0.7265625","0.7265625"
"485","0.765625","0.765625","0.765625"
"490","0.78125","0.78125","0.78125"
"495","0.775390625","0.775390625","0.775390625"
"500","0.7734375","0.7734375","0.7734375"
"505","0.759765625","0.759765625","0.759765625"
"510","0.77734375","0.77734375","0.77734375"
"515","0.77734375","0.77734375","0.77734375"
"520","0.779296875","0.779296875","0.779296875"
