"Step","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MIN","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MAX"
"0","0.513671875","0.513671875","0.513671875"
"5","0.509765625","0.509765625","0.509765625"
"10","0.53515625","0.53515625","0.53515625"
"15","0.529296875","0.529296875","0.529296875"
"20","0.51171875","0.51171875","0.51171875"
"25","0.52734375","0.52734375","0.52734375"
"30","0.537109375","0.537109375","0.537109375"
"35","0.53125","0.53125","0.53125"
"40","0.544921875","0.544921875","0.544921875"
"45","0.60546875","0.60546875","0.60546875"
"50","0.615234375","0.615234375","0.615234375"
"55","0.625","0.625","0.625"
"60","0.61328125","0.61328125","0.61328125"
"65","0.625","0.625","0.625"
"70","0.56640625","0.56640625","0.56640625"
"75","0.59375","0.59375","0.59375"
"80","0.5703125","0.5703125","0.5703125"
"85","0.572265625","0.572265625","0.572265625"
"90","0.560546875","0.560546875","0.560546875"
"95","0.55078125","0.55078125","0.55078125"
"100","0.5703125","0.5703125","0.5703125"
"105","0.583984375","0.583984375","0.583984375"
"110","0.5703125","0.5703125","0.5703125"
"115","0.603515625","0.603515625","0.603515625"
"120","0.54296875","0.54296875","0.54296875"
"125","0.591796875","0.591796875","0.591796875"
"130","0.5625","0.5625","0.5625"
"135","0.578125","0.578125","0.578125"
"140","0.513671875","0.513671875","0.513671875"
"145","0.55859375","0.55859375","0.55859375"
"150","0.509765625","0.509765625","0.509765625"
"155","0.5546875","0.5546875","0.5546875"
"160","0.505859375","0.505859375","0.505859375"
"165","0.541015625","0.541015625","0.541015625"
"170","0.548828125","0.548828125","0.548828125"
"175","0.58203125","0.58203125","0.58203125"
"180","0.55078125","0.55078125","0.55078125"
"185","0.619140625","0.619140625","0.619140625"
"190","0.60546875","0.60546875","0.60546875"
"195","0.619140625","0.619140625","0.619140625"
"200","0.6015625","0.6015625","0.6015625"
"205","0.6015625","0.6015625","0.6015625"
"210","0.595703125","0.595703125","0.595703125"
"215","0.640625","0.640625","0.640625"
"220","0.58203125","0.58203125","0.58203125"
"225","0.646484375","0.646484375","0.646484375"
"230","0.619140625","0.619140625","0.619140625"
"235","0.5859375","0.5859375","0.5859375"
"240","0.595703125","0.595703125","0.595703125"
"245","0.580078125","0.580078125","0.580078125"
"250","0.626953125","0.626953125","0.626953125"
"255","0.59765625","0.59765625","0.59765625"
"260","0.642578125","0.642578125","0.642578125"
"265","0.595703125","0.595703125","0.595703125"
"270","0.58984375","0.58984375","0.58984375"
"275","0.603515625","0.603515625","0.603515625"
"280","0.5625","0.5625","0.5625"
"285","0.626953125","0.626953125","0.626953125"
"290","0.625","0.625","0.625"
"295","0.59765625","0.59765625","0.59765625"
"300","0.61328125","0.61328125","0.61328125"
"305","0.630859375","0.630859375","0.630859375"
"310","0.5625","0.5625","0.5625"
"315","0.51171875","0.51171875","0.51171875"
"320","0.57421875","0.57421875","0.57421875"
"325","0.51171875","0.51171875","0.51171875"
"330","0.501953125","0.501953125","0.501953125"
"335","0.48828125","0.48828125","0.48828125"
"340","0.51953125","0.51953125","0.51953125"
"345","0.5703125","0.5703125","0.5703125"
"350","0.548828125","0.548828125","0.548828125"
"355","0.54296875","0.54296875","0.54296875"
"360","0.55859375","0.55859375","0.55859375"
"365","0.552734375","0.552734375","0.552734375"
"370","0.544921875","0.544921875","0.544921875"
"375","0.564453125","0.564453125","0.564453125"
"380","0.57421875","0.57421875","0.57421875"
"385","0.59765625","0.59765625","0.59765625"
"390","0.58203125","0.58203125","0.58203125"
"395","0.546875","0.546875","0.546875"
"400","0.6015625","0.6015625","0.6015625"
"405","0.55859375","0.55859375","0.55859375"
"410","0.51953125","0.51953125","0.51953125"
"415","0.53515625","0.53515625","0.53515625"
"420","0.517578125","0.517578125","0.517578125"
"425","0.54296875","0.54296875","0.54296875"
"430","0.56640625","0.56640625","0.56640625"
"435","0.5859375","0.5859375","0.5859375"
"440","0.59765625","0.59765625","0.59765625"
"445","0.576171875","0.576171875","0.576171875"
"450","0.55078125","0.55078125","0.55078125"
"455","0.576171875","0.576171875","0.576171875"
"460","0.544921875","0.544921875","0.544921875"
"465","0.607421875","0.607421875","0.607421875"
"470","0.57421875","0.57421875","0.57421875"
"475","0.607421875","0.607421875","0.607421875"
"480","0.6015625","0.6015625","0.6015625"
"485","0.564453125","0.564453125","0.564453125"
"490","0.603515625","0.603515625","0.603515625"
"495","0.615234375","0.615234375","0.615234375"
"500","0.578125","0.578125","0.578125"
"505","0.517578125","0.517578125","0.517578125"
"510","0.580078125","0.580078125","0.580078125"
"515","0.583984375","0.583984375","0.583984375"
"520","0.576171875","0.576171875","0.576171875"
"525","0.556640625","0.556640625","0.556640625"
"530","0.603515625","0.603515625","0.603515625"
"535","0.568359375","0.568359375","0.568359375"
"540","0.609375","0.609375","0.609375"
"545","0.59375","0.59375","0.59375"
"550","0.552734375","0.552734375","0.552734375"
"555","0.55078125","0.55078125","0.55078125"
"560","0.541015625","0.541015625","0.541015625"
"565","0.58203125","0.58203125","0.58203125"
"570","0.5546875","0.5546875","0.5546875"
"575","0.55859375","0.55859375","0.55859375"
"580","0.525390625","0.525390625","0.525390625"
"585","0.556640625","0.556640625","0.556640625"
"590","0.58203125","0.58203125","0.58203125"
"595","0.587890625","0.587890625","0.587890625"
"600","0.564453125","0.564453125","0.564453125"
"605","0.53125","0.53125","0.53125"
"610","0.537109375","0.537109375","0.537109375"
"615","0.521484375","0.521484375","0.521484375"
"620","0.525390625","0.525390625","0.525390625"
"625","0.53515625","0.53515625","0.53515625"
"630","0.58203125","0.58203125","0.58203125"
"635","0.525390625","0.525390625","0.525390625"
"640","0.59375","0.59375","0.59375"
"645","0.568359375","0.568359375","0.568359375"
"650","0.587890625","0.587890625","0.587890625"
"655","0.583984375","0.583984375","0.583984375"
"660","0.6015625","0.6015625","0.6015625"
"665","0.583984375","0.583984375","0.583984375"
"670","0.595703125","0.595703125","0.595703125"
"675","0.58203125","0.58203125","0.58203125"
"680","0.564453125","0.564453125","0.564453125"
"685","0.591796875","0.591796875","0.591796875"
"690","0.5078125","0.5078125","0.5078125"
"695","0.583984375","0.583984375","0.583984375"
"700","0.58203125","0.58203125","0.58203125"
"705","0.5625","0.5625","0.5625"
"710","0.5859375","0.5859375","0.5859375"
"715","0.57421875","0.57421875","0.57421875"
"720","0.5546875","0.5546875","0.5546875"
"725","0.59765625","0.59765625","0.59765625"
"730","0.57421875","0.57421875","0.57421875"
"735","0.59765625","0.59765625","0.59765625"
"740","0.595703125","0.595703125","0.595703125"
"745","0.5390625","0.5390625","0.5390625"
"750","0.568359375","0.568359375","0.568359375"
"755","0.556640625","0.556640625","0.556640625"
"760","0.533203125","0.533203125","0.533203125"
"765","0.525390625","0.525390625","0.525390625"
"770","0.609375","0.609375","0.609375"
"775","0.5625","0.5625","0.5625"
"780","0.609375","0.609375","0.609375"
"785","0.625","0.625","0.625"
"790","0.61328125","0.61328125","0.61328125"
"795","0.65625","0.65625","0.65625"
"800","0.638671875","0.638671875","0.638671875"
"805","0.646484375","0.646484375","0.646484375"
"810","0.619140625","0.619140625","0.619140625"
"815","0.65625","0.65625","0.65625"
"820","0.640625","0.640625","0.640625"
"825","0.62890625","0.62890625","0.62890625"
"830","0.625","0.625","0.625"
"835","0.61328125","0.61328125","0.61328125"
"840","0.59375","0.59375","0.59375"
"845","0.626953125","0.626953125","0.626953125"
"850","0.59765625","0.59765625","0.59765625"
"855","0.638671875","0.638671875","0.638671875"
"860","0.587890625","0.587890625","0.587890625"
