"Step","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MIN","inrl - no - pretrained - action - pruning - v1 - eval/black_vs_baseline__MAX"
"710","0.66796875","0.66796875","0.66796875"
"715","0.681640625","0.681640625","0.681640625"
"720","0.708984375","0.708984375","0.708984375"
"725","0.69140625","0.69140625","0.69140625"
"730","0.638671875","0.638671875","0.638671875"
"735","0.6875","0.6875","0.6875"
"740","0.67578125","0.67578125","0.67578125"
"745","0.734375","0.734375","0.734375"
"750","0.75","0.75","0.75"
"755","0.681640625","0.681640625","0.681640625"
"760","0.693359375","0.693359375","0.693359375"
"765","0.640625","0.640625","0.640625"
"770","0.703125","0.703125","0.703125"
"775","0.693359375","0.693359375","0.693359375"
"780","0.703125","0.703125","0.703125"
"785","0.70703125","0.70703125","0.70703125"
"790","0.69921875","0.69921875","0.69921875"
"795","0.6796875","0.6796875","0.6796875"
"800","0.7265625","0.7265625","0.7265625"
"805","0.73046875","0.73046875","0.73046875"
"810","0.697265625","0.697265625","0.697265625"
"815","0.69140625","0.69140625","0.69140625"
"820","0.7109375","0.7109375","0.7109375"
"825","0.701171875","0.701171875","0.701171875"
"830","0.68359375","0.68359375","0.68359375"
"835","0.7109375","0.7109375","0.7109375"
"840","0.677734375","0.677734375","0.677734375"
"845","0.671875","0.671875","0.671875"
"850","0.689453125","0.689453125","0.689453125"
"855","0.6796875","0.6796875","0.6796875"
"860","0.66796875","0.66796875","0.66796875"
"865","0.689453125","0.689453125","0.689453125"
"870","0.76171875","0.76171875","0.76171875"
"875","0.732421875","0.732421875","0.732421875"
"880","0.7265625","0.7265625","0.7265625"
"885","0.763671875","0.763671875","0.763671875"
"890","0.728515625","0.728515625","0.728515625"
"895","0.712890625","0.712890625","0.712890625"
"900","0.73046875","0.73046875","0.73046875"
"905","0.73828125","0.73828125","0.73828125"
"910","0.74609375","0.74609375","0.74609375"
"915","0.7265625","0.7265625","0.7265625"
"920","0.73046875","0.73046875","0.73046875"
"925","0.734375","0.734375","0.734375"
"930","0.724609375","0.724609375","0.724609375"
"935","0.751953125","0.751953125","0.751953125"
"940","0.740234375","0.740234375","0.740234375"
"945","0.7265625","0.7265625","0.7265625"
"950","0.744140625","0.744140625","0.744140625"
"955","0.734375","0.734375","0.734375"
"960","0.70703125","0.70703125","0.70703125"
"965","0.7109375","0.7109375","0.7109375"
"970","0.724609375","0.724609375","0.724609375"
"975","0.736328125","0.736328125","0.736328125"
"980","0.732421875","0.732421875","0.732421875"
"985","0.72265625","0.72265625","0.72265625"
"990","0.73828125","0.73828125","0.73828125"
"995","0.705078125","0.705078125","0.705078125"
"1000","0.751953125","0.751953125","0.751953125"
"1005","0.76953125","0.76953125","0.76953125"
"1010","0.712890625","0.712890625","0.712890625"
"1015","0.759765625","0.759765625","0.759765625"
"1020","0.740234375","0.740234375","0.740234375"
"1025","0.703125","0.703125","0.703125"
"1030","0.734375","0.734375","0.734375"
"1035","0.732421875","0.732421875","0.732421875"
"1040","0.75390625","0.75390625","0.75390625"
"1045","0.765625","0.765625","0.765625"
"1050","0.70703125","0.70703125","0.70703125"
"1055","0.7578125","0.7578125","0.7578125"
"1060","0.767578125","0.767578125","0.767578125"
"1065","0.7421875","0.7421875","0.7421875"
"1070","0.6875","0.6875","0.6875"
"1075","0.6796875","0.6796875","0.6796875"
"1080","0.642578125","0.642578125","0.642578125"
"1085","0.67578125","0.67578125","0.67578125"
"1090","0.677734375","0.677734375","0.677734375"
"1095","0.71875","0.71875","0.71875"
"1100","0.693359375","0.693359375","0.693359375"
"1105","0.71484375","0.71484375","0.71484375"
"1110","0.68359375","0.68359375","0.68359375"
"1115","0.67578125","0.67578125","0.67578125"
"1120","0.724609375","0.724609375","0.724609375"
"1125","0.689453125","0.689453125","0.689453125"
"1130","0.638671875","0.638671875","0.638671875"
"1135","0.7109375","0.7109375","0.7109375"
"1140","0.671875","0.671875","0.671875"
"1145","0.712890625","0.712890625","0.712890625"
"1150","0.701171875","0.701171875","0.701171875"
"1155","0.630859375","0.630859375","0.630859375"
"1160","0.642578125","0.642578125","0.642578125"
"1165","0.626953125","0.626953125","0.626953125"
"1170","0.703125","0.703125","0.703125"
"1175","0.658203125","0.658203125","0.658203125"
"1180","0.64453125","0.64453125","0.64453125"
"1185","0.6953125","0.6953125","0.6953125"
"1190","0.681640625","0.681640625","0.681640625"
"1195","0.6640625","0.6640625","0.6640625"
"1200","0.66015625","0.66015625","0.66015625"
"1205","0.69921875","0.69921875","0.69921875"
"1210","0.666015625","0.666015625","0.666015625"
"1215","0.66015625","0.66015625","0.66015625"
"1220","0.744140625","0.744140625","0.744140625"
"1225","0.716796875","0.716796875","0.716796875"
"1230","0.677734375","0.677734375","0.677734375"
"1235","0.662109375","0.662109375","0.662109375"
"1240","0.703125","0.703125","0.703125"
"1245","0.67578125","0.67578125","0.67578125"
"1250","0.69140625","0.69140625","0.69140625"
"1255","0.728515625","0.728515625","0.728515625"
"1260","0.71875","0.71875","0.71875"
"1265","0.71875","0.71875","0.71875"
"1270","0.7265625","0.7265625","0.7265625"
"1275","0.68359375","0.68359375","0.68359375"
"1280","0.677734375","0.677734375","0.677734375"
"1285","0.70703125","0.70703125","0.70703125"
"1290","0.650390625","0.650390625","0.650390625"
