"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.763671875","0.763671875","0.763671875"
"5","0.837890625","0.837890625","0.837890625"
"10","0.78515625","0.78515625","0.78515625"
"15","0.80859375","0.80859375","0.80859375"
"20","0.857421875","0.857421875","0.857421875"
"25","0.78515625","0.78515625","0.78515625"
"30","0.796875","0.796875","0.796875"
"35","0.8046875","0.8046875","0.8046875"
"40","0.822265625","0.822265625","0.822265625"
"45","0.84375","0.84375","0.84375"
"50","0.806640625","0.806640625","0.806640625"
"55","0.7890625","0.7890625","0.7890625"
"60","0.814453125","0.814453125","0.814453125"
"65","0.818359375","0.818359375","0.818359375"
"70","0.7890625","0.7890625","0.7890625"
"75","0.80859375","0.80859375","0.80859375"
"80","0.814453125","0.814453125","0.814453125"
"85","0.8125","0.8125","0.8125"
"90","0.7578125","0.7578125","0.7578125"
"95","0.744140625","0.744140625","0.744140625"
"100","0.78125","0.78125","0.78125"
"105","0.79296875","0.79296875","0.79296875"
"110","0.783203125","0.783203125","0.783203125"
"115","0.787109375","0.787109375","0.787109375"
"120","0.80078125","0.80078125","0.80078125"
"125","0.82421875","0.82421875","0.82421875"
"130","0.7421875","0.7421875","0.7421875"
"135","0.7890625","0.7890625","0.7890625"
"140","0.755859375","0.755859375","0.755859375"
"145","0.779296875","0.779296875","0.779296875"
"150","0.7578125","0.7578125","0.7578125"
"155","0.765625","0.765625","0.765625"
"160","0.7578125","0.7578125","0.7578125"
"165","0.76953125","0.76953125","0.76953125"
"170","0.767578125","0.767578125","0.767578125"
"175","0.7734375","0.7734375","0.7734375"
"180","0.76953125","0.76953125","0.76953125"
"185","0.755859375","0.755859375","0.755859375"
"190","0.787109375","0.787109375","0.787109375"
"195","0.759765625","0.759765625","0.759765625"
"200","0.75","0.75","0.75"
"205","0.763671875","0.763671875","0.763671875"
"210","0.751953125","0.751953125","0.751953125"
"215","0.73828125","0.73828125","0.73828125"
"220","0.6953125","0.6953125","0.6953125"
"225","0.73046875","0.73046875","0.73046875"
"230","0.68359375","0.68359375","0.68359375"
"235","0.73046875","0.73046875","0.73046875"
"240","0.7734375","0.7734375","0.7734375"
"245","0.71484375","0.71484375","0.71484375"
"250","0.7734375","0.7734375","0.7734375"
"255","0.73828125","0.73828125","0.73828125"
"260","0.759765625","0.759765625","0.759765625"
"265","0.763671875","0.763671875","0.763671875"
"270","0.759765625","0.759765625","0.759765625"
"275","0.740234375","0.740234375","0.740234375"
"280","0.759765625","0.759765625","0.759765625"
"285","0.78515625","0.78515625","0.78515625"
"290","0.787109375","0.787109375","0.787109375"
"295","0.7890625","0.7890625","0.7890625"
"300","0.796875","0.796875","0.796875"
"305","0.77734375","0.77734375","0.77734375"
"310","0.76953125","0.76953125","0.76953125"
"315","0.751953125","0.751953125","0.751953125"
"320","0.791015625","0.791015625","0.791015625"
"325","0.748046875","0.748046875","0.748046875"
"330","0.78515625","0.78515625","0.78515625"
"335","0.802734375","0.802734375","0.802734375"
"340","0.80078125","0.80078125","0.80078125"
"345","0.76953125","0.76953125","0.76953125"
"350","0.78515625","0.78515625","0.78515625"
"355","0.763671875","0.763671875","0.763671875"
"360","0.771484375","0.771484375","0.771484375"
"365","0.732421875","0.732421875","0.732421875"
"370","0.775390625","0.775390625","0.775390625"
"375","0.7734375","0.7734375","0.7734375"
"380","0.765625","0.765625","0.765625"
"385","0.755859375","0.755859375","0.755859375"
"390","0.787109375","0.787109375","0.787109375"
"395","0.75","0.75","0.75"
"400","0.7265625","0.7265625","0.7265625"
"405","0.7734375","0.7734375","0.7734375"
"410","0.76171875","0.76171875","0.76171875"
"415","0.7734375","0.7734375","0.7734375"
"420","0.7421875","0.7421875","0.7421875"
"425","0.69140625","0.69140625","0.69140625"
"430","0.693359375","0.693359375","0.693359375"
"435","0.7265625","0.7265625","0.7265625"
"440","0.7109375","0.7109375","0.7109375"
"445","0.74609375","0.74609375","0.74609375"
"450","0.763671875","0.763671875","0.763671875"
"455","0.744140625","0.744140625","0.744140625"
"460","0.71875","0.71875","0.71875"
"465","0.71875","0.71875","0.71875"
"470","0.765625","0.765625","0.765625"
"475","0.775390625","0.775390625","0.775390625"
"480","0.77734375","0.77734375","0.77734375"
"485","0.7734375","0.7734375","0.7734375"
"490","0.705078125","0.705078125","0.705078125"
"495","0.744140625","0.744140625","0.744140625"
"500","0.7734375","0.7734375","0.7734375"
"505","0.705078125","0.705078125","0.705078125"
"510","0.73828125","0.73828125","0.73828125"
"515","0.728515625","0.728515625","0.728515625"
"520","0.765625","0.765625","0.765625"
"525","0.75390625","0.75390625","0.75390625"
"530","0.736328125","0.736328125","0.736328125"
"535","0.75","0.75","0.75"
"540","0.7421875","0.7421875","0.7421875"
"545","0.759765625","0.759765625","0.759765625"
"550","0.71875","0.71875","0.71875"
"555","0.7265625","0.7265625","0.7265625"
"560","0.7734375","0.7734375","0.7734375"
"565","0.748046875","0.748046875","0.748046875"
"570","0.7734375","0.7734375","0.7734375"
"575","0.75","0.75","0.75"
"580","0.6875","0.6875","0.6875"
"585","0.697265625","0.697265625","0.697265625"
"590","0.703125","0.703125","0.703125"
"595","0.75390625","0.75390625","0.75390625"
"600","0.583984375","0.583984375","0.583984375"
"605","0.62109375","0.62109375","0.62109375"
"610","0.697265625","0.697265625","0.697265625"
"615","0.6640625","0.6640625","0.6640625"
"620","0.712890625","0.712890625","0.712890625"
"625","0.70703125","0.70703125","0.70703125"
"630","0.703125","0.703125","0.703125"
"635","0.7578125","0.7578125","0.7578125"
"640","0.791015625","0.791015625","0.791015625"
"645","0.76953125","0.76953125","0.76953125"
"650","0.763671875","0.763671875","0.763671875"
"655","0.7734375","0.7734375","0.7734375"
"660","0.802734375","0.802734375","0.802734375"
"665","0.73046875","0.73046875","0.73046875"
"670","0.7734375","0.7734375","0.7734375"
"675","0.779296875","0.779296875","0.779296875"
"680","0.775390625","0.775390625","0.775390625"
"685","0.74609375","0.74609375","0.74609375"
"690","0.76171875","0.76171875","0.76171875"
"695","0.783203125","0.783203125","0.783203125"
"700","0.77734375","0.77734375","0.77734375"
"705","0.763671875","0.763671875","0.763671875"
"710","0.783203125","0.783203125","0.783203125"
"715","0.80078125","0.80078125","0.80078125"
"720","0.791015625","0.791015625","0.791015625"
"725","0.751953125","0.751953125","0.751953125"
"730","0.76171875","0.76171875","0.76171875"
"735","0.7578125","0.7578125","0.7578125"
"740","0.759765625","0.759765625","0.759765625"
"745","0.720703125","0.720703125","0.720703125"
"750","0.75390625","0.75390625","0.75390625"
"755","0.775390625","0.775390625","0.775390625"
"760","0.7578125","0.7578125","0.7578125"
"765","0.669921875","0.669921875","0.669921875"
"770","0.765625","0.765625","0.765625"
"775","0.68359375","0.68359375","0.68359375"
"780","0.728515625","0.728515625","0.728515625"
"785","0.75390625","0.75390625","0.75390625"
"790","0.7578125","0.7578125","0.7578125"
"795","0.75","0.75","0.75"
"800","0.74609375","0.74609375","0.74609375"
"805","0.732421875","0.732421875","0.732421875"
"810","0.71875","0.71875","0.71875"
"815","0.76171875","0.76171875","0.76171875"
"820","0.767578125","0.767578125","0.767578125"
"825","0.751953125","0.751953125","0.751953125"
"830","0.787109375","0.787109375","0.787109375"
"835","0.755859375","0.755859375","0.755859375"
"840","0.736328125","0.736328125","0.736328125"
"845","0.755859375","0.755859375","0.755859375"
"850","0.74609375","0.74609375","0.74609375"
"855","0.765625","0.765625","0.765625"
"860","0.7578125","0.7578125","0.7578125"
"865","0.7578125","0.7578125","0.7578125"
"870","0.76171875","0.76171875","0.76171875"
"875","0.767578125","0.767578125","0.767578125"
"880","0.802734375","0.802734375","0.802734375"
"885","0.75","0.75","0.75"
"890","0.78125","0.78125","0.78125"
"895","0.794921875","0.794921875","0.794921875"
"900","0.71484375","0.71484375","0.71484375"
"905","0.759765625","0.759765625","0.759765625"
"910","0.767578125","0.767578125","0.767578125"
"915","0.763671875","0.763671875","0.763671875"
"920","0.751953125","0.751953125","0.751953125"
"925","0.736328125","0.736328125","0.736328125"
"930","0.724609375","0.724609375","0.724609375"
"935","0.736328125","0.736328125","0.736328125"
"940","0.7421875","0.7421875","0.7421875"
"945","0.74609375","0.74609375","0.74609375"
"950","0.744140625","0.744140625","0.744140625"
"955","0.78125","0.78125","0.78125"
"960","0.728515625","0.728515625","0.728515625"
"965","0.748046875","0.748046875","0.748046875"
"970","0.779296875","0.779296875","0.779296875"
"975","0.78515625","0.78515625","0.78515625"
"980","0.771484375","0.771484375","0.771484375"
"985","0.7890625","0.7890625","0.7890625"
"990","0.814453125","0.814453125","0.814453125"
"995","0.779296875","0.779296875","0.779296875"
"1000","0.787109375","0.787109375","0.787109375"
"1005","0.763671875","0.763671875","0.763671875"
"1010","0.775390625","0.775390625","0.775390625"
"1015","0.80859375","0.80859375","0.80859375"
