"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.72265625","0.72265625","0.72265625"
"5","0.76171875","0.76171875","0.76171875"
"10","0.763671875","0.763671875","0.763671875"
"15","0.7265625","0.7265625","0.7265625"
"20","0.767578125","0.767578125","0.767578125"
"25","0.72265625","0.72265625","0.72265625"
"30","0.75390625","0.75390625","0.75390625"
"35","0.6953125","0.6953125","0.6953125"
"40","0.720703125","0.720703125","0.720703125"
"45","0.748046875","0.748046875","0.748046875"
"50","0.716796875","0.716796875","0.716796875"
"55","0.74609375","0.74609375","0.74609375"
"60","0.720703125","0.720703125","0.720703125"
"65","0.7265625","0.7265625","0.7265625"
"70","0.775390625","0.775390625","0.775390625"
"75","0.740234375","0.740234375","0.740234375"
"80","0.767578125","0.767578125","0.767578125"
"85","0.7421875","0.7421875","0.7421875"
"90","0.7421875","0.7421875","0.7421875"
"95","0.751953125","0.751953125","0.751953125"
"100","0.70703125","0.70703125","0.70703125"
"105","0.732421875","0.732421875","0.732421875"
"110","0.720703125","0.720703125","0.720703125"
"115","0.6875","0.6875","0.6875"
"120","0.669921875","0.669921875","0.669921875"
"125","0.703125","0.703125","0.703125"
"130","0.70703125","0.70703125","0.70703125"
"135","0.71875","0.71875","0.71875"
"140","0.73046875","0.73046875","0.73046875"
"145","0.728515625","0.728515625","0.728515625"
"150","0.69140625","0.69140625","0.69140625"
"155","0.68359375","0.68359375","0.68359375"
"160","0.744140625","0.744140625","0.744140625"
"165","0.689453125","0.689453125","0.689453125"
"170","0.68359375","0.68359375","0.68359375"
"175","0.673828125","0.673828125","0.673828125"
"180","0.720703125","0.720703125","0.720703125"
"185","0.701171875","0.701171875","0.701171875"
"190","0.67578125","0.67578125","0.67578125"
"195","0.69921875","0.69921875","0.69921875"
"200","0.712890625","0.712890625","0.712890625"
"205","0.7265625","0.7265625","0.7265625"
"210","0.73828125","0.73828125","0.73828125"
"215","0.728515625","0.728515625","0.728515625"
"220","0.7109375","0.7109375","0.7109375"
"225","0.72265625","0.72265625","0.72265625"
"230","0.6953125","0.6953125","0.6953125"
"235","0.708984375","0.708984375","0.708984375"
"240","0.7109375","0.7109375","0.7109375"
"245","0.6875","0.6875","0.6875"
"250","0.67578125","0.67578125","0.67578125"
"255","0.728515625","0.728515625","0.728515625"
"260","0.705078125","0.705078125","0.705078125"
"265","0.701171875","0.701171875","0.701171875"
"270","0.728515625","0.728515625","0.728515625"
"275","0.68359375","0.68359375","0.68359375"
"280","0.705078125","0.705078125","0.705078125"
"285","0.673828125","0.673828125","0.673828125"
"290","0.732421875","0.732421875","0.732421875"
"295","0.646484375","0.646484375","0.646484375"
"300","0.654296875","0.654296875","0.654296875"
"305","0.642578125","0.642578125","0.642578125"
"310","0.681640625","0.681640625","0.681640625"
"315","0.671875","0.671875","0.671875"
"320","0.638671875","0.638671875","0.638671875"
"325","0.703125","0.703125","0.703125"
"330","0.59375","0.59375","0.59375"
"335","0.705078125","0.705078125","0.705078125"
"340","0.625","0.625","0.625"
"345","0.6875","0.6875","0.6875"
"350","0.666015625","0.666015625","0.666015625"
"355","0.6875","0.6875","0.6875"
"360","0.677734375","0.677734375","0.677734375"
"365","0.650390625","0.650390625","0.650390625"
"370","0.646484375","0.646484375","0.646484375"
"375","0.580078125","0.580078125","0.580078125"
"380","0.630859375","0.630859375","0.630859375"
"385","0.671875","0.671875","0.671875"
"390","0.671875","0.671875","0.671875"
"395","0.69140625","0.69140625","0.69140625"
"400","0.6875","0.6875","0.6875"
"405","0.703125","0.703125","0.703125"
"410","0.69140625","0.69140625","0.69140625"
"415","0.703125","0.703125","0.703125"
"420","0.6796875","0.6796875","0.6796875"
"425","0.734375","0.734375","0.734375"
"430","0.693359375","0.693359375","0.693359375"
"435","0.720703125","0.720703125","0.720703125"
"440","0.763671875","0.763671875","0.763671875"
"445","0.763671875","0.763671875","0.763671875"
"450","0.759765625","0.759765625","0.759765625"
"455","0.734375","0.734375","0.734375"
"460","0.779296875","0.779296875","0.779296875"
"465","0.76953125","0.76953125","0.76953125"
