"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.849609375","0.849609375","0.849609375"
"5","0.84375","0.84375","0.84375"
"10","0.833984375","0.833984375","0.833984375"
"15","0.83984375","0.83984375","0.83984375"
"20","0.828125","0.828125","0.828125"
"25","0.84375","0.84375","0.84375"
"30","0.814453125","0.814453125","0.814453125"
"35","0.83203125","0.83203125","0.83203125"
"40","0.830078125","0.830078125","0.830078125"
"45","0.830078125","0.830078125","0.830078125"
"50","0.861328125","0.861328125","0.861328125"
"55","0.82421875","0.82421875","0.82421875"
"60","0.83984375","0.83984375","0.83984375"
"65","0.83984375","0.83984375","0.83984375"
"70","0.849609375","0.849609375","0.849609375"
"75","0.83984375","0.83984375","0.83984375"
"80","0.82421875","0.82421875","0.82421875"
"85","0.814453125","0.814453125","0.814453125"
"90","0.755859375","0.755859375","0.755859375"
"95","0.814453125","0.814453125","0.814453125"
"100","0.779296875","0.779296875","0.779296875"
"105","0.798828125","0.798828125","0.798828125"
"110","0.7578125","0.7578125","0.7578125"
"115","0.765625","0.765625","0.765625"
"120","0.791015625","0.791015625","0.791015625"
"125","0.828125","0.828125","0.828125"
"130","0.84765625","0.84765625","0.84765625"
"135","0.8125","0.8125","0.8125"
"140","0.845703125","0.845703125","0.845703125"
"145","0.826171875","0.826171875","0.826171875"
"150","0.84375","0.84375","0.84375"
"155","0.8203125","0.8203125","0.8203125"
"160","0.828125","0.828125","0.828125"
"165","0.849609375","0.849609375","0.849609375"
"170","0.8359375","0.8359375","0.8359375"
"175","0.833984375","0.833984375","0.833984375"
"180","0.818359375","0.818359375","0.818359375"
"185","0.810546875","0.810546875","0.810546875"
"190","0.82421875","0.82421875","0.82421875"
"195","0.845703125","0.845703125","0.845703125"
"200","0.8125","0.8125","0.8125"
"205","0.853515625","0.853515625","0.853515625"
"210","0.794921875","0.794921875","0.794921875"
"215","0.8125","0.8125","0.8125"
"220","0.783203125","0.783203125","0.783203125"
"225","0.818359375","0.818359375","0.818359375"
"230","0.84375","0.84375","0.84375"
"235","0.78515625","0.78515625","0.78515625"
"240","0.830078125","0.830078125","0.830078125"
"245","0.82421875","0.82421875","0.82421875"
"250","0.8046875","0.8046875","0.8046875"
"255","0.82421875","0.82421875","0.82421875"
"260","0.83984375","0.83984375","0.83984375"
"265","0.818359375","0.818359375","0.818359375"
"270","0.84375","0.84375","0.84375"
"275","0.873046875","0.873046875","0.873046875"
"280","0.84765625","0.84765625","0.84765625"
"285","0.8359375","0.8359375","0.8359375"
"290","0.853515625","0.853515625","0.853515625"
"295","0.875","0.875","0.875"
"300","0.884765625","0.884765625","0.884765625"
"305","0.86328125","0.86328125","0.86328125"
"310","0.84765625","0.84765625","0.84765625"
"315","0.873046875","0.873046875","0.873046875"
"320","0.880859375","0.880859375","0.880859375"
"325","0.84765625","0.84765625","0.84765625"
"330","0.85546875","0.85546875","0.85546875"
"335","0.85546875","0.85546875","0.85546875"
"340","0.861328125","0.861328125","0.861328125"
"345","0.828125","0.828125","0.828125"
"350","0.83203125","0.83203125","0.83203125"
"355","0.857421875","0.857421875","0.857421875"
"360","0.884765625","0.884765625","0.884765625"
"365","0.88671875","0.88671875","0.88671875"
"370","0.865234375","0.865234375","0.865234375"
"375","0.880859375","0.880859375","0.880859375"
"380","0.857421875","0.857421875","0.857421875"
"385","0.87109375","0.87109375","0.87109375"
"390","0.845703125","0.845703125","0.845703125"
"395","0.845703125","0.845703125","0.845703125"
"400","0.861328125","0.861328125","0.861328125"
"405","0.833984375","0.833984375","0.833984375"
"410","0.837890625","0.837890625","0.837890625"
"415","0.85546875","0.85546875","0.85546875"
"420","0.865234375","0.865234375","0.865234375"
"425","0.876953125","0.876953125","0.876953125"
"430","0.8515625","0.8515625","0.8515625"
"435","0.896484375","0.896484375","0.896484375"
"440","0.861328125","0.861328125","0.861328125"
"445","0.853515625","0.853515625","0.853515625"
"450","0.849609375","0.849609375","0.849609375"
"455","0.873046875","0.873046875","0.873046875"
"460","0.859375","0.859375","0.859375"
"465","0.8671875","0.8671875","0.8671875"
"470","0.859375","0.859375","0.859375"
"475","0.85546875","0.85546875","0.85546875"
"480","0.87109375","0.87109375","0.87109375"
"485","0.845703125","0.845703125","0.845703125"
"490","0.85546875","0.85546875","0.85546875"
"495","0.849609375","0.849609375","0.849609375"
"500","0.830078125","0.830078125","0.830078125"
"505","0.83984375","0.83984375","0.83984375"
"510","0.826171875","0.826171875","0.826171875"
"515","0.82421875","0.82421875","0.82421875"
"520","0.857421875","0.857421875","0.857421875"
"525","0.84375","0.84375","0.84375"
"530","0.822265625","0.822265625","0.822265625"
"535","0.830078125","0.830078125","0.830078125"
"540","0.841796875","0.841796875","0.841796875"
"545","0.837890625","0.837890625","0.837890625"
"550","0.82421875","0.82421875","0.82421875"
"555","0.83203125","0.83203125","0.83203125"
"560","0.8359375","0.8359375","0.8359375"
"565","0.865234375","0.865234375","0.865234375"
"570","0.849609375","0.849609375","0.849609375"
"575","0.865234375","0.865234375","0.865234375"
"580","0.87890625","0.87890625","0.87890625"
"585","0.859375","0.859375","0.859375"
"590","0.873046875","0.873046875","0.873046875"
"595","0.880859375","0.880859375","0.880859375"
"600","0.8828125","0.8828125","0.8828125"
"605","0.869140625","0.869140625","0.869140625"
"610","0.86328125","0.86328125","0.86328125"
"615","0.857421875","0.857421875","0.857421875"
"620","0.869140625","0.869140625","0.869140625"
"625","0.8515625","0.8515625","0.8515625"
"630","0.875","0.875","0.875"
