"Step","inrl-temporal-6 - eval/black_vs_white_pool1","inrl-temporal-6 - eval/black_vs_white_pool1__MIN","inrl-temporal-6 - eval/black_vs_white_pool1__MAX"
"0","0.861328125","0.861328125","0.861328125"
"5","0.88671875","0.88671875","0.88671875"
"10","0.8828125","0.8828125","0.8828125"
"15","0.873046875","0.873046875","0.873046875"
"20","0.884765625","0.884765625","0.884765625"
"25","0.87890625","0.87890625","0.87890625"
"30","0.8671875","0.8671875","0.8671875"
"35","0.88671875","0.88671875","0.88671875"
"40","0.87890625","0.87890625","0.87890625"
"45","0.865234375","0.865234375","0.865234375"
"50","0.87890625","0.87890625","0.87890625"
"55","0.88671875","0.88671875","0.88671875"
"60","0.8671875","0.8671875","0.8671875"
"65","0.875","0.875","0.875"
"70","0.8984375","0.8984375","0.8984375"
"75","0.873046875","0.873046875","0.873046875"
"80","0.873046875","0.873046875","0.873046875"
"85","0.8828125","0.8828125","0.8828125"
"90","0.841796875","0.841796875","0.841796875"
"95","0.845703125","0.845703125","0.845703125"
"100","0.8359375","0.8359375","0.8359375"
"105","0.853515625","0.853515625","0.853515625"
"110","0.857421875","0.857421875","0.857421875"
"115","0.8359375","0.8359375","0.8359375"
"120","0.861328125","0.861328125","0.861328125"
"125","0.8828125","0.8828125","0.8828125"
"130","0.853515625","0.853515625","0.853515625"
"135","0.88671875","0.88671875","0.88671875"
"140","0.8515625","0.8515625","0.8515625"
"145","0.876953125","0.876953125","0.876953125"
"150","0.8359375","0.8359375","0.8359375"
"155","0.86328125","0.86328125","0.86328125"
"160","0.84765625","0.84765625","0.84765625"
"165","0.869140625","0.869140625","0.869140625"
"170","0.833984375","0.833984375","0.833984375"
"175","0.84765625","0.84765625","0.84765625"
"180","0.841796875","0.841796875","0.841796875"
"185","0.830078125","0.830078125","0.830078125"
"190","0.8515625","0.8515625","0.8515625"
"195","0.8515625","0.8515625","0.8515625"
"200","0.828125","0.828125","0.828125"
"205","0.859375","0.859375","0.859375"
"210","0.86328125","0.86328125","0.86328125"
"215","0.876953125","0.876953125","0.876953125"
"220","0.8515625","0.8515625","0.8515625"
"225","0.888671875","0.888671875","0.888671875"
"230","0.84765625","0.84765625","0.84765625"
"235","0.8671875","0.8671875","0.8671875"
"240","0.85546875","0.85546875","0.85546875"
"245","0.880859375","0.880859375","0.880859375"
"250","0.86328125","0.86328125","0.86328125"
"255","0.861328125","0.861328125","0.861328125"
"260","0.873046875","0.873046875","0.873046875"
"265","0.869140625","0.869140625","0.869140625"
"270","0.875","0.875","0.875"
"275","0.833984375","0.833984375","0.833984375"
"280","0.865234375","0.865234375","0.865234375"
"285","0.837890625","0.837890625","0.837890625"
"290","0.853515625","0.853515625","0.853515625"
"295","0.859375","0.859375","0.859375"
"300","0.84765625","0.84765625","0.84765625"
"305","0.85546875","0.85546875","0.85546875"
"310","0.85546875","0.85546875","0.85546875"
"315","0.85546875","0.85546875","0.85546875"
